gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,79.0,176.0,0.0,0.14175097941943837,6.0,11.0,0.21270279544635998,0.41356316224644746,2.0,4.0,0.0,3.0
-0.7,79.0,177.0,0.0,0.8925666541178586,12.0,9.0,0.3898569296480427,0.3727889100299313,2.0,0.0,1.0,0.0
-0.7,79.0,178.0,0.0,0.3635972460716802,10.0,7.0,0.41787549179390104,0.3529284340163149,6.0,1.0,0.0,2.0
-0.7,79.0,179.0,0.0,0.9041714520703674,11.0,8.0,0.5366889931989178,0.3129854303544283,1.0,0.0,4.0,2.0
-0.7,79.0,180.0,0.0,0.06336372258053502,4.0,8.0,0.2058796273351694,0.4146900865602793,0.0,1.0,0.0,3.0
-0.7,79.0,181.0,1.0,0.34039671240372715,8.0,9.0,0.33983918598241253,0.38660995947604215,1.0,2.0,1.0,1.0
-0.7,79.0,182.0,1.0,0.5191456134181078,14.0,11.0,0.599401381892009,0.4448960889793666,2.0,0.0,2.0,1.0
-0.7,79.0,183.0,1.0,0.7743768453489945,14.0,8.0,0.5624065516253984,0.3841133372406163,3.0,0.0,4.0,1.0
-0.7,79.0,184.0,0.0,0.5507475554740856,8.0,9.0,0.2712279303301808,0.3733072050851098,1.0,0.0,0.0,2.0
-0.7,79.0,185.0,0.0,0.21215758145274544,3.0,4.0,0.13690566016105365,0.22244979680215018,2.0,2.0,0.0,1.0
-0.7,79.0,186.0,0.0,0.9143362925144618,9.0,4.0,0.3689490195356705,0.21567127728256838,4.0,0.0,1.0,0.0
-0.7,79.0,187.0,0.0,0.6038325725887348,7.0,7.0,0.3260379871941239,0.3969690342858524,2.0,0.0,1.0,3.0
-0.7,79.0,188.0,0.0,0.07895543351666612,10.0,13.0,0.3915182693964041,0.655366096432069,5.0,3.0,0.0,5.0
-0.7,79.0,189.0,1.0,0.993644284043576,10.0,9.0,0.4443536864470805,0.44249452420551,0.0,0.0,1.0,0.0
-0.7,79.0,190.0,0.0,0.37392639771680136,1.0,3.0,0.030319682834212578,0.10294579305672091,0.0,1.0,0.0,1.0
-0.7,79.0,191.0,1.0,0.777109868618028,10.0,11.0,0.43764912852296656,0.5750998475363437,1.0,0.0,0.0,2.0
-0.7,79.0,192.0,0.0,0.9450403277845875,12.0,7.0,0.33450845383864497,0.3417098394796627,2.0,0.0,3.0,0.0
-0.7,79.0,193.0,0.0,0.33516105857505596,3.0,9.0,0.11734686990318166,0.36169869407983096,0.0,3.0,0.0,3.0
-0.7,79.0,194.0,0.0,0.6989006026053058,10.0,6.0,0.49793089330631407,0.3660842719814536,2.0,0.0,2.0,0.0
-0.7,79.0,195.0,0.0,0.7632781434343783,11.0,8.0,0.4673165640649073,0.3726276007400438,1.0,0.0,4.0,2.0
-0.7,79.0,196.0,1.0,0.8747455788718289,9.0,7.0,0.3765191299232882,0.3278318527140524,4.0,0.0,0.0,2.0
-0.7,79.0,197.0,1.0,0.2641191982771781,4.0,8.0,0.20652299030162247,0.39940101804395567,1.0,4.0,1.0,2.0
-0.7,79.0,198.0,1.0,0.4653812328213923,12.0,9.0,0.6096291737725839,0.46421406453596203,5.0,0.0,1.0,3.0
-0.7,79.0,199.0,0.0,0.3633387571124569,1.0,5.0,0.012708596315559383,0.19274317268221147,1.0,2.0,0.0,3.0
-0.7,80.0,0.0,0.0,0.32862094138836495,10.0,10.0,0.5539787829259021,0.523402934992718,5.0,1.0,1.0,5.0
-0.7,80.0,1.0,1.0,0.9834648525116103,9.0,5.0,0.39236523644458676,0.2871864476641831,4.0,0.0,1.0,1.0
-0.7,80.0,2.0,1.0,0.7460229197717645,16.0,10.0,0.8355292656014752,0.5813652500005163,5.0,0.0,3.0,2.0
-0.7,80.0,3.0,1.0,0.5733738098709629,11.0,10.0,0.5142957458505061,0.5209789755797904,0.0,0.0,2.0,1.0
-0.7,80.0,4.0,1.0,0.055434813423924645,4.0,11.0,0.16763619405446656,0.6020766844571744,2.0,3.0,0.0,6.0
-0.7,80.0,5.0,0.0,0.67121374480244,9.0,6.0,0.426289769777573,0.26655131717918357,2.0,0.0,1.0,0.0
-0.7,80.0,6.0,0.0,0.5646042138554339,10.0,11.0,0.5930442544695541,0.7088362222554858,1.0,0.0,0.0,2.0
-0.7,80.0,7.0,1.0,0.5034379952848106,6.0,7.0,0.2173031840182308,0.31184993034027214,1.0,0.0,1.0,3.0
-0.7,80.0,8.0,1.0,0.527276343069585,10.0,12.0,0.36453421049938256,0.5661494865062482,2.0,0.0,0.0,4.0
-0.7,80.0,9.0,1.0,0.35541385731554753,1.0,4.0,0.057531560942170344,0.22048614364923644,0.0,2.0,0.0,1.0
-0.7,80.0,10.0,0.0,0.4833864665072203,17.0,11.0,0.8108506403606275,0.4951796836358848,4.0,0.0,4.0,2.0
-0.7,80.0,11.0,0.0,0.5632297918905713,16.0,11.0,0.6621559879569222,0.5886497656578589,5.0,0.0,2.0,2.0
-0.7,80.0,12.0,1.0,0.8947377097710415,9.0,8.0,0.4065819969393964,0.416516172902226,2.0,0.0,1.0,2.0
-0.7,80.0,13.0,0.0,0.15431117822232143,2.0,5.0,0.12417401712445462,0.20749600460107695,1.0,1.0,0.0,3.0
-0.7,80.0,14.0,0.0,0.14285190712895734,2.0,6.0,0.11682527529359019,0.3594476653342181,0.0,0.0,0.0,4.0
-0.7,80.0,15.0,0.0,0.3620879337360271,7.0,4.0,0.31484711892631373,0.16552887601520347,4.0,2.0,1.0,0.0
-0.7,80.0,16.0,1.0,0.4093122076632669,8.0,6.0,0.312412827120743,0.312840443740061,3.0,0.0,0.0,1.0
