gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,59.0,168.0,1.0,0.5626545987896954,12.0,12.0,0.5276861675711287,0.6868486989860229,1.0,0.0,1.0,2.0
-0.4,59.0,169.0,0.0,0.8852258993664706,5.0,6.0,0.22863232941580652,0.3004540333043926,0.0,0.0,1.0,2.0
-0.4,59.0,170.0,1.0,0.21329813737722003,0.0,8.0,2.0619247802577635e-18,0.2926484107963905,0.0,2.0,0.0,6.0
-0.4,59.0,171.0,1.0,0.8874718797979982,11.0,9.0,0.6175518037981642,0.5289531426849484,2.0,0.0,1.0,1.0
-0.4,59.0,172.0,0.0,0.6238962815938102,11.0,7.0,0.5520928236208666,0.4558758680280179,3.0,0.0,1.0,0.0
-0.4,59.0,173.0,1.0,0.8951016878083085,14.0,10.0,0.7111214568886921,0.5576012934077906,2.0,0.0,2.0,0.0
-0.4,59.0,174.0,0.0,0.6268181138503426,5.0,7.0,0.2519390108761538,0.43035708915374904,2.0,2.0,0.0,2.0
-0.4,59.0,175.0,0.0,0.21670368024874787,3.0,6.0,0.13827564061095493,0.31273817336649024,1.0,2.0,0.0,2.0
-0.4,59.0,176.0,0.0,0.7102460997452015,10.0,8.0,0.4625872047857567,0.4129256050365218,3.0,0.0,1.0,2.0
-0.4,59.0,177.0,1.0,0.32174161594200723,2.0,6.0,0.0926307994417551,0.25085386492296957,1.0,2.0,0.0,3.0
-0.4,59.0,178.0,1.0,0.4950835853937219,14.0,8.0,0.5699124084543276,0.4207380544408992,6.0,1.0,2.0,1.0
-0.4,59.0,179.0,1.0,0.5864952386349073,12.0,10.0,0.5958183391492679,0.6091553644443816,2.0,0.0,2.0,2.0
-0.4,59.0,180.0,0.0,0.9045187463115388,6.0,2.0,0.3681475839178597,0.153932549102511,1.0,0.0,3.0,0.0
