gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.2,0.0,0.0,0.0,0.5919808978093939,16.0,13.0,0.769356597358533,0.7169779610107475,5.0,0.0,1.0,3.0
0.2,0.0,1.0,0.0,0.20793626204227234,8.0,6.0,0.342776515519314,0.3973290296106902,5.0,1.0,0.0,2.0
0.2,0.0,2.0,1.0,0.056677964374010736,3.0,8.0,0.18469091046395672,0.5008008086978688,1.0,0.0,0.0,6.0
0.2,0.0,3.0,1.0,0.5276096826640254,15.0,10.0,0.6558721103366837,0.6113505158919669,2.0,0.0,4.0,1.0
0.2,0.0,4.0,0.0,0.43823919256339294,5.0,8.0,0.20215123047850966,0.4629524897069906,1.0,1.0,0.0,3.0
0.2,0.0,5.0,1.0,0.8800862676543996,14.0,10.0,0.5145836952157428,0.552118245663291,4.0,0.0,1.0,1.0
0.2,0.0,6.0,0.0,0.989780023686093,15.0,8.0,0.8620201747374984,0.544677178563651,7.0,0.0,3.0,3.0
0.2,0.0,7.0,1.0,0.035677325352131084,2.0,11.0,0.10081144873531586,0.5629363598757491,0.0,5.0,0.0,4.0
0.2,0.0,8.0,1.0,0.35407136791837746,7.0,8.0,0.34349828413359723,0.42299078648964056,4.0,3.0,2.0,4.0
0.2,0.0,9.0,1.0,0.5617603464475983,6.0,7.0,0.2834673541678495,0.5125158069330747,1.0,2.0,1.0,1.0
0.2,0.0,10.0,1.0,0.5516834728992793,12.0,10.0,0.5949653898310656,0.6169534493168041,2.0,0.0,1.0,1.0
0.2,0.0,11.0,1.0,0.9026556114195503,15.0,8.0,0.5302331945446146,0.4770068627751045,5.0,0.0,2.0,0.0
0.2,0.0,12.0,1.0,0.5018463695273597,13.0,9.0,0.6651018743198285,0.5692719270353848,4.0,0.0,3.0,3.0
0.2,0.0,13.0,0.0,0.7568899507484246,8.0,6.0,0.3757651863425493,0.43072229972832105,3.0,0.0,0.0,1.0
0.2,0.0,14.0,1.0,0.08597995899707578,7.0,12.0,0.3899833669677458,0.8216608009537869,2.0,4.0,0.0,3.0
0.2,0.0,15.0,0.0,0.023438399897819484,5.0,7.0,0.2700918838208045,0.38992100332275753,4.0,1.0,0.0,5.0
0.2,0.0,16.0,1.0,0.5182160645766464,14.0,8.0,0.64101186589894,0.3839477455450136,3.0,0.0,4.0,1.0
0.2,0.0,17.0,1.0,0.9811732140102881,14.0,10.0,0.5833178441718402,0.6851442634465553,2.0,0.0,2.0,0.0
0.2,0.0,18.0,1.0,0.5829340015673597,16.0,13.0,0.8573843782208378,0.9149439257564539,3.0,0.0,3.0,3.0
0.2,0.0,19.0,1.0,0.38771294839147896,1.0,8.0,0.06306933650224411,0.6262877817287743,0.0,2.0,0.0,5.0
0.2,0.0,20.0,1.0,0.2419570892775904,5.0,10.0,0.28289563573097126,0.6248820163461479,1.0,1.0,0.0,5.0
0.2,0.0,21.0,0.0,0.93462897994166,11.0,7.0,0.49343102415318074,0.4298552785596359,3.0,0.0,2.0,1.0
0.2,0.0,22.0,0.0,0.33503650756372283,3.0,3.0,0.07374063466244003,0.1966009998453018,2.0,0.0,1.0,3.0
0.2,0.0,23.0,0.0,0.4608450968161254,14.0,10.0,0.5461993131004783,0.5864992694667637,5.0,0.0,2.0,3.0
0.2,0.0,24.0,0.0,0.017344395643726918,3.0,8.0,0.20094321786253488,0.5499253717093526,1.0,4.0,0.0,2.0
0.2,0.0,25.0,1.0,0.04830555671668413,2.0,9.0,0.10390611721499392,0.5566104735231476,0.0,2.0,0.0,5.0
0.2,0.0,26.0,0.0,0.49442466577600064,10.0,7.0,0.4960436198887023,0.5532481247551335,5.0,0.0,2.0,4.0
0.2,0.0,27.0,1.0,0.3348957576972048,9.0,10.0,0.5314987323619591,0.667955120616309,4.0,4.0,1.0,2.0
0.2,0.0,28.0,0.0,0.5505068992357889,4.0,3.0,0.19922794984561304,0.21592287483664807,2.0,1.0,0.0,0.0
0.2,0.0,29.0,1.0,0.4970418549600799,11.0,5.0,0.488036184558312,0.3742619658257144,7.0,0.0,0.0,1.0
0.2,0.0,30.0,0.0,0.5427266230472874,2.0,3.0,0.10047275683143816,0.15178187762650608,2.0,2.0,0.0,1.0
0.2,0.0,31.0,0.0,0.7437410872679973,15.0,6.0,0.7759133949173544,0.3688388828270164,7.0,0.0,3.0,1.0
0.2,0.0,32.0,0.0,0.8627056806069875,10.0,9.0,0.5887925304127256,0.5790834729262645,5.0,0.0,1.0,5.0
0.2,0.0,33.0,1.0,0.4224755695885042,1.0,9.0,0.03973392537371903,0.6027299335442262,1.0,2.0,0.0,7.0
0.2,0.0,34.0,1.0,0.4311682361477196,10.0,10.0,0.3769962088064584,0.5983428364665336,3.0,1.0,2.0,4.0
0.2,0.0,35.0,0.0,0.20069147777324892,2.0,5.0,0.12558077725329853,0.3067338930587122,1.0,0.0,0.0,4.0
0.2,0.0,36.0,0.0,0.6859450866316473,6.0,6.0,0.2909422788468151,0.3207591810172795,2.0,0.0,1.0,3.0
0.2,0.0,37.0,1.0,0.7613454568366759,10.0,9.0,0.3777579530420224,0.46870218768165417,1.0,0.0,2.0,2.0
0.2,0.0,38.0,0.0,0.24872119888740862,6.0,10.0,0.24667856250139403,0.7401149765281722,3.0,3.0,1.0,5.0
0.2,0.0,39.0,0.0,0.6140932503150528,13.0,8.0,0.5841607598891259,0.49433091694161163,5.0,1.0,4.0,3.0
0.2,0.0,40.0,0.0,0.7027850616844933,10.0,6.0,0.3802584866326066,0.41306294874448385,4.0,0.0,1.0,1.0
0.2,0.0,41.0,0.0,0.6571622161264901,11.0,7.0,0.4850032520456839,0.386760698161414,4.0,0.0,0.0,0.0
0.2,0.0,42.0,0.0,0.732021557032152,17.0,14.0,0.9481527783703302,0.8494894475521881,3.0,0.0,2.0,2.0
0.2,0.0,43.0,1.0,0.6037589226821026,7.0,4.0,0.38635836925254957,0.2232187096379033,1.0,1.0,4.0,1.0
0.2,0.0,44.0,0.0,0.3623573195213764,7.0,5.0,0.3609468366956018,0.3407822082738294,2.0,1.0,3.0,2.0
0.2,0.0,45.0,0.0,0.1556269637514035,3.0,3.0,0.1389858446709424,0.23450113581908535,3.0,0.0,0.0,3.0
0.2,0.0,46.0,1.0,0.10788135735169335,6.0,10.0,0.2798881049988061,0.6775884358167344,2.0,1.0,0.0,5.0
0.2,0.0,47.0,1.0,0.30407962855118953,4.0,9.0,0.19617684497580135,0.5267406764302891,1.0,1.0,0.0,5.0
0.2,0.0,48.0,0.0,0.18316943602924662,4.0,11.0,0.16793608677903737,0.7096481609970214,1.0,2.0,0.0,6.0
0.2,0.0,49.0,1.0,0.4988828657540444,2.0,4.0,0.12088650938182346,0.23798744387018195,2.0,2.0,0.0,2.0
0.2,0.0,50.0,0.0,0.8496917006847721,0.0,2.0,1.5716359021904415e-17,0.09778559014862731,0.0,2.0,0.0,0.0
0.2,0.0,51.0,0.0,0.361178541294926,4.0,10.0,0.1666054003379211,0.44612247649069425,1.0,2.0,0.0,5.0
0.2,0.0,52.0,1.0,0.12134323115031032,5.0,10.0,0.21815866064430484,0.7084285718695114,3.0,6.0,0.0,2.0
0.2,0.0,53.0,1.0,0.25779769811928543,1.0,7.0,0.048688227925531055,0.4817817555988406,0.0,1.0,0.0,5.0
0.2,0.0,54.0,1.0,0.2111411442248632,2.0,4.0,0.09969118985573315,0.22725865008073726,1.0,1.0,0.0,2.0
0.2,0.0,55.0,1.0,0.4469299357155635,15.0,12.0,0.576353507288139,0.7454460481203827,3.0,1.0,2.0,1.0
0.2,0.0,56.0,0.0,0.5927629381909325,10.0,10.0,0.5103501640756898,0.6153971005889554,1.0,0.0,3.0,4.0
0.2,0.0,57.0,0.0,0.11795634205678784,2.0,9.0,0.07189341709958448,0.45323155102459817,1.0,3.0,0.0,5.0
0.2,0.0,58.0,1.0,0.9580037769105559,12.0,10.0,0.4535195420739921,0.6327943952695138,2.0,0.0,1.0,1.0
0.2,0.0,59.0,1.0,0.3997587561149466,13.0,9.0,0.5628624203847706,0.5533027694716005,4.0,2.0,3.0,1.0
0.2,0.0,60.0,0.0,0.49663959226929655,11.0,8.0,0.474069576287878,0.4329319483999262,3.0,0.0,2.0,2.0
0.2,0.0,61.0,1.0,0.2004935563268052,6.0,6.0,0.2664441494030068,0.33570224744527316,3.0,1.0,1.0,3.0
0.2,0.0,62.0,0.0,0.6865628965037494,10.0,5.0,0.4938675986379877,0.22978484299582594,3.0,0.0,3.0,1.0
0.2,0.0,63.0,1.0,0.19850341889065648,6.0,9.0,0.25860612998624427,0.4986453849929752,3.0,3.0,0.0,3.0
0.2,0.0,64.0,0.0,0.1017526984343502,5.0,9.0,0.27934823688825994,0.5374234533081773,2.0,1.0,0.0,5.0
0.2,0.0,65.0,1.0,0.4820144972323649,13.0,8.0,0.4982981868709688,0.39916221161866516,3.0,0.0,3.0,1.0
0.2,0.0,66.0,0.0,0.8706555639837574,15.0,11.0,0.7621603886165658,0.7598407890044767,4.0,0.0,1.0,1.0
0.2,0.0,67.0,0.0,0.4683433814702983,1.0,11.0,0.03454953859000716,0.5586167332788978,0.0,3.0,0.0,7.0
0.2,0.0,68.0,1.0,0.1972503732638714,3.0,5.0,0.16784022082285857,0.27741677925201413,2.0,2.0,0.0,2.0
0.2,0.0,69.0,0.0,0.10295098190191265,4.0,6.0,0.20073470236761898,0.3676684063022444,4.0,2.0,0.0,4.0
0.2,0.0,70.0,1.0,0.8410067771675935,0.0,4.0,1.5716359021904415e-17,0.24407133110084628,0.0,2.0,0.0,2.0
0.2,0.0,71.0,0.0,0.5418442144199235,10.0,9.0,0.5240586876631768,0.5124517113154013,2.0,0.0,1.0,2.0
0.2,0.0,72.0,1.0,0.6192138652295753,14.0,10.0,0.5513746321858453,0.6359321251410651,4.0,0.0,2.0,2.0
0.2,0.0,73.0,0.0,0.5601421541942175,10.0,9.0,0.4148807449439858,0.4233719453494688,3.0,0.0,1.0,3.0
0.2,0.0,74.0,0.0,0.3517303917518255,8.0,8.0,0.3856930809935816,0.45343245709694197,3.0,1.0,1.0,3.0
0.2,0.0,75.0,1.0,0.9131412204251099,18.0,16.0,0.8931800550926238,1.0,4.0,0.0,1.0,3.0
0.2,0.0,76.0,0.0,0.6800137412902006,7.0,3.0,0.32498093966311203,0.1330502511397923,2.0,0.0,2.0,0.0
