gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.9,0,0,1,1,2,5
-0.9,0,1,2,0,5,0
-0.9,0,2,0,3,1,2
-0.9,0,3,1,0,0,0
-0.9,0,4,0,0,3,0
-0.9,0,5,3,0,1,0
-0.9,0,6,0,1,2,1
-0.9,0,7,0,2,0,2
-0.9,0,8,2,0,2,0
-0.9,0,9,1,0,1,1
-0.9,0,10,0,0,7,0
-0.9,0,11,3,3,0,1
-0.9,0,12,1,0,2,2
-0.9,0,13,3,0,2,0
-0.9,0,14,1,0,0,0
-0.9,0,15,1,0,1,1
-0.9,0,16,0,0,1,0
-0.9,0,17,0,1,1,0
-0.9,0,18,3,0,0,0
-0.9,0,19,0,0,1,0
-0.9,0,20,0,0,1,0
-0.9,0,21,1,0,4,0
-0.9,0,22,0,0,0,2
-0.9,0,23,0,0,2,1
-0.9,0,24,0,0,2,0
-0.9,0,25,0,0,0,2
-0.9,0,26,0,1,3,0
-0.9,0,27,2,0,1,0
-0.9,0,28,1,0,3,0
-0.9,0,29,0,1,0,2
-0.9,0,30,0,0,1,0
-0.9,0,31,1,0,1,0
-0.9,0,32,1,1,2,0
-0.9,0,33,0,0,0,1
-0.9,0,34,0,0,2,3
-0.9,0,35,1,2,0,1
-0.9,0,36,2,0,0,0
-0.9,0,37,1,1,1,0
-0.9,0,38,3,0,1,0
-0.9,0,39,1,1,3,0
-0.9,0,40,0,0,4,0
-0.9,0,41,0,0,1,0
-0.9,0,42,0,0,3,2
-0.9,0,43,1,1,0,0
-0.9,0,44,0,0,0,1
-0.9,0,45,0,0,0,1
-0.9,0,46,1,1,4,0
-0.9,0,47,0,3,0,2
-0.9,0,48,0,0,0,2
-0.9,0,49,0,2,2,1
-0.9,0,50,2,0,4,0
-0.9,0,51,0,0,3,0
-0.9,0,52,2,1,2,0
-0.9,0,53,0,2,0,1
-0.9,0,54,0,1,1,0
-0.9,0,55,2,0,1,1
-0.9,0,56,0,0,2,1
-0.9,0,57,2,2,2,1
-0.9,0,58,0,3,1,1
-0.9,0,59,0,2,0,0
-0.9,0,60,1,2,3,0
-0.9,0,61,0,0,2,0
-0.9,0,62,0,1,4,0
-0.9,0,63,0,3,0,1
-0.9,0,64,0,1,4,0
-0.9,0,65,0,1,0,2
-0.9,0,66,2,0,1,0
-0.9,0,67,0,1,7,0
-0.9,0,68,1,2,0,2
-0.9,0,69,0,2,0,0
-0.9,0,70,0,2,0,1
-0.9,0,71,1,2,4,3
-0.9,0,72,3,0,1,0
-0.9,0,73,2,1,0,0
-0.9,0,74,1,3,1,0
-0.9,0,75,0,0,0,1
-0.9,0,76,4,1,0,0
-0.9,0,77,1,1,2,0
-0.9,0,78,1,1,5,0
-0.9,0,79,1,1,1,1
-0.9,0,80,0,3,1,2
-0.9,0,81,3,0,3,0
-0.9,0,82,0,2,4,0
-0.9,0,83,2,2,3,0
-0.9,0,84,2,3,0,4
-0.9,0,85,3,0,4,0
-0.9,0,86,0,0,6,0
-0.9,0,87,1,3,2,0
-0.9,0,88,0,0,0,0
-0.9,0,89,1,0,3,1
-0.9,0,90,0,0,0,0
-0.9,0,91,1,0,1,0
-0.9,0,92,1,1,2,0
-0.9,0,93,1,0,0,0
-0.9,0,94,1,0,2,0
-0.9,0,95,2,1,1,0
-0.9,0,96,0,0,0,1
-0.9,0,97,1,0,2,1
-0.9,0,98,1,0,0,1
-0.9,0,99,2,2,0,0
-0.9,0,100,0,0,3,0
-0.9,0,101,1,0,2,0
-0.9,0,102,0,1,1,0
-0.9,0,103,1,1,3,0
-0.9,0,104,0,3,0,2
-0.9,0,105,1,2,0,2
-0.9,0,106,0,1,0,1
-0.9,0,107,2,0,0,0
-0.9,0,108,2,0,2,1
-0.9,0,109,0,0,1,0
-0.9,0,110,3,1,3,0
-0.9,0,111,0,1,1,1
-0.9,0,112,0,0,1,0
-0.9,0,113,0,0,4,0
-0.9,0,114,1,0,2,0
-0.9,0,115,1,0,3,0
