gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.5,0.0,0.0,0.0,0.9406736056841625,11.0,13.0,0.4033406608150801,0.575925034121289,1.0,0.0,0.0,3.0
-0.5,0.0,1.0,0.0,0.3512082175211362,7.0,8.0,0.2144893597846381,0.3619494266426726,0.0,2.0,3.0,2.0
-0.5,0.0,2.0,1.0,0.3844402693389466,15.0,13.0,0.5646192362291798,0.6216183005060856,3.0,2.0,4.0,3.0
-0.5,0.0,3.0,0.0,0.09518560054685243,4.0,10.0,0.17510030044438832,0.5262703333232899,1.0,2.0,0.0,5.0
-0.5,0.0,4.0,1.0,0.22703963381324355,6.0,11.0,0.18431628453751114,0.5267953026994513,1.0,3.0,1.0,4.0
-0.5,0.0,5.0,1.0,0.6161942526128577,8.0,8.0,0.2607934838711152,0.3265427583902744,1.0,1.0,2.0,2.0
-0.5,0.0,6.0,0.0,0.9238576341634847,16.0,6.0,0.5415856151627095,0.32540082533094233,8.0,0.0,3.0,1.0
-0.5,0.0,7.0,0.0,0.9480348319698639,10.0,7.0,0.27696119810603076,0.2460362264446855,2.0,0.0,2.0,1.0
-0.5,0.0,8.0,1.0,0.7155152240533259,3.0,6.0,0.0687825240451832,0.2359480831828768,0.0,0.0,0.0,3.0
-0.5,0.0,9.0,1.0,0.20970248183814466,5.0,7.0,0.1479600628386213,0.3343190659394534,3.0,0.0,1.0,6.0
-0.5,0.0,10.0,0.0,0.5355485391208801,0.0,5.0,0.0,0.24894591467269467,0.0,4.0,0.0,1.0
-0.5,0.0,11.0,0.0,0.20711762342626705,6.0,11.0,0.26389328788796274,0.4953248257594414,5.0,4.0,0.0,6.0
-0.5,0.0,12.0,1.0,0.7276072036143049,7.0,4.0,0.1941363519368766,0.1929117836875492,2.0,0.0,1.0,0.0
-0.5,0.0,13.0,0.0,0.6231218047795658,19.0,16.0,0.7161032059702958,0.8221338386921181,4.0,0.0,0.0,1.0
-0.5,0.0,14.0,1.0,0.6311417859217671,13.0,6.0,0.5155099033819829,0.22308321038204956,5.0,0.0,5.0,3.0
-0.5,0.0,15.0,1.0,0.8581435252228095,11.0,6.0,0.4203182748070327,0.34259984833380497,4.0,0.0,1.0,0.0
-0.5,0.0,16.0,1.0,0.4401289792894002,8.0,8.0,0.34640707284865324,0.41309067285500595,2.0,0.0,1.0,3.0
