gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.6,0,0,1,1,2,1
-0.6,0,1,1,0,4,0
-0.6,0,2,0,1,0,2
-0.6,0,3,1,0,5,1
-0.6,0,4,0,2,0,1
-0.6,0,5,2,3,0,3
-0.6,0,6,2,0,1,0
-0.6,0,7,0,1,0,1
-0.6,0,8,0,1,4,0
-0.6,0,9,0,1,0,0
-0.6,0,10,2,1,0,3
-0.6,0,11,0,2,0,3
-0.6,0,12,0,1,2,0
-0.6,0,13,3,1,3,1
-0.6,0,14,2,0,1,0
-0.6,0,15,0,2,0,0
-0.6,0,16,1,0,1,1
-0.6,0,17,0,0,1,1
-0.6,0,18,1,1,0,0
-0.6,0,19,1,0,1,0
-0.6,0,20,0,0,3,1
-0.6,0,21,0,2,2,4
-0.6,0,22,0,0,2,3
-0.6,0,23,0,1,0,0
-0.6,0,24,2,4,2,4
-0.6,0,25,0,1,0,2
-0.6,0,26,0,0,4,0
-0.6,0,27,1,0,1,0
-0.6,0,28,2,0,1,0
-0.6,0,29,0,1,0,2
-0.6,0,30,0,0,1,0
-0.6,0,31,1,0,2,1
-0.6,0,32,0,0,0,1
-0.6,0,33,0,0,0,0
-0.6,0,34,0,1,2,0
-0.6,0,35,0,0,3,0
-0.6,0,36,1,1,2,0
-0.6,0,37,2,2,2,0
-0.6,0,38,1,0,2,0
-0.6,0,39,0,0,3,0
-0.6,0,40,0,0,3,0
-0.6,0,41,0,2,0,0
-0.6,0,42,0,1,0,2
-0.6,0,43,5,1,2,0
-0.6,0,44,1,0,2,0
-0.6,0,45,0,1,1,0
-0.6,0,46,1,0,5,0
-0.6,0,47,0,4,0,3
-0.6,0,48,0,0,2,1
-0.6,0,49,0,1,0,1
-0.6,0,50,3,1,1,0
-0.6,0,51,0,1,0,0
-0.6,0,52,0,4,0,0
-0.6,0,53,2,1,2,1
-0.6,0,54,3,0,3,0
-0.6,0,55,0,2,0,1
-0.6,0,56,2,0,2,1
-0.6,0,57,2,1,2,0
-0.6,0,58,0,0,4,0
-0.6,0,59,1,1,6,0
-0.6,0,60,1,1,2,0
-0.6,0,61,0,0,1,0
-0.6,0,62,0,1,0,0
-0.6,0,63,2,2,1,1
-0.6,0,64,0,1,0,0
-0.6,0,65,1,0,1,0
-0.6,0,66,0,1,0,4
-0.6,0,67,1,1,1,1
-0.6,0,68,0,1,0,0
-0.6,0,69,0,1,0,1
-0.6,0,70,2,1,1,1
-0.6,0,71,3,2,1,0
-0.6,0,72,1,1,4,0
-0.6,0,73,0,2,0,1
-0.6,0,74,2,1,3,1
-0.6,0,75,0,1,3,3
-0.6,0,76,0,1,1,2
-0.6,0,77,2,1,2,0
-0.6,0,78,1,1,1,0
-0.6,0,79,1,0,2,0
-0.6,0,80,1,0,4,1
-0.6,0,81,1,1,2,0
-0.6,0,82,0,1,0,0
-0.6,0,83,0,0,0,2
-0.6,0,84,1,0,2,0
-0.6,0,85,0,2,3,0
-0.6,0,86,0,3,1,1
-0.6,0,87,1,0,4,1
-0.6,0,88,0,1,2,0
-0.6,0,89,1,2,1,2
-0.6,0,90,0,0,1,0
-0.6,0,91,0,1,0,0
-0.6,0,92,0,1,0,3
-0.6,0,93,0,1,0,0
-0.6,0,94,0,0,0,0
-0.6,0,95,0,0,2,1
-0.6,0,96,0,0,6,0
-0.6,0,97,0,1,0,2
-0.6,0,98,1,1,6,0
-0.6,0,99,0,2,2,0
-0.6,0,100,0,2,4,0
-0.6,0,101,0,1,0,1
-0.6,0,102,1,1,0,1
-0.6,0,103,2,1,0,0
-0.6,0,104,0,0,2,1
-0.6,0,105,1,3,0,2
-0.6,0,106,4,1,2,3
-0.6,0,107,0,1,4,2
-0.6,0,108,1,1,1,0
-0.6,0,109,1,2,0,0
-0.6,0,110,1,1,3,0
-0.6,0,111,0,1,0,0
-0.6,0,112,0,0,1,0
-0.6,0,113,2,1,1,4
-0.6,0,114,1,1,4,1
-0.6,0,115,2,2,4,1
-0.6,0,116,1,1,0,0
-0.6,0,117,2,0,1,0
-0.6,0,118,1,0,5,0
