gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,12.0,198.0,0.0,0.12444830248211736,12.0,10.0,0.5580841259137171,0.5499613084625192,3.0,0.0,1.0,2.0
0.5,12.0,199.0,0.0,0.5617839776102778,13.0,6.0,0.5890898574695284,0.33251452406229987,3.0,0.0,4.0,0.0
0.5,13.0,0.0,1.0,0.26476742802677367,5.0,2.0,0.23455247824280864,0.06337931132866441,4.0,0.0,0.0,1.0
0.5,13.0,1.0,1.0,0.9418221918768165,5.0,4.0,0.24933891047221737,0.23582027520328105,2.0,0.0,0.0,1.0
0.5,13.0,2.0,0.0,0.022234354605145112,6.0,9.0,0.31803792963947025,0.43636663307133905,1.0,2.0,1.0,3.0
0.5,13.0,3.0,1.0,0.5827248955223604,13.0,10.0,0.6744328485803092,0.6518891385721197,3.0,0.0,2.0,2.0
0.5,13.0,4.0,0.0,0.37845331671689375,7.0,7.0,0.24782223260902903,0.33081235859179964,0.0,0.0,2.0,2.0
0.5,13.0,5.0,0.0,0.7175258746761365,10.0,8.0,0.48284006627086684,0.4789432646347937,0.0,0.0,2.0,0.0
0.5,13.0,6.0,0.0,0.35753690346395994,8.0,12.0,0.3542180863433829,0.5753887044963826,3.0,5.0,1.0,3.0
0.5,13.0,7.0,1.0,0.259129435891593,14.0,12.0,0.7455822707494243,0.8476286601703062,4.0,1.0,1.0,2.0
0.5,13.0,8.0,1.0,0.9388961114546835,0.0,2.0,1.3807468605238444e-17,0.05204472736705505,0.0,1.0,0.0,1.0
0.5,13.0,9.0,1.0,0.7096315205850895,8.0,5.0,0.34097303158000514,0.33102151519495066,3.0,0.0,2.0,2.0
0.5,13.0,10.0,0.0,0.1322746330713459,2.0,6.0,0.06386262846544198,0.27629605467126017,0.0,2.0,0.0,2.0
0.5,13.0,11.0,1.0,0.001676025481216592,2.0,4.0,0.07402430036084982,0.22279439225629188,0.0,1.0,0.0,1.0
0.5,13.0,12.0,0.0,0.8560417881825446,8.0,7.0,0.28615104481340675,0.4150630856097513,1.0,0.0,0.0,0.0
0.5,13.0,13.0,0.0,0.970183273983053,16.0,11.0,0.7821748165253136,0.59688391853261,1.0,0.0,4.0,0.0
0.5,13.0,14.0,1.0,0.2852606540149568,2.0,5.0,0.07530549139381726,0.234508620212786,1.0,0.0,0.0,4.0
0.5,13.0,15.0,0.0,0.4351902256955048,8.0,8.0,0.359001675177692,0.47154292263274605,2.0,1.0,1.0,2.0
0.5,13.0,16.0,1.0,0.5904940903122796,20.0,16.0,1.0,0.9268493480192623,3.0,0.0,1.0,0.0
0.5,13.0,17.0,1.0,0.381983628682677,2.0,4.0,0.07198896161794344,0.13403019535529204,1.0,2.0,0.0,1.0
0.5,13.0,18.0,1.0,0.7224394933638472,9.0,7.0,0.35270556595472213,0.38205334418658954,1.0,0.0,2.0,1.0
0.5,13.0,19.0,0.0,0.6367972278217505,7.0,5.0,0.3460012908926581,0.23796650572294667,1.0,0.0,2.0,1.0
0.5,13.0,20.0,1.0,0.9580022895099657,10.0,5.0,0.3368919687487704,0.25107858668453986,5.0,0.0,2.0,2.0
0.5,13.0,21.0,1.0,0.5143418130275565,9.0,11.0,0.3232118629034326,0.5929179626620981,1.0,0.0,0.0,3.0
0.5,13.0,22.0,0.0,0.6197060317659402,8.0,7.0,0.3486741467465576,0.4081109507463306,1.0,0.0,1.0,1.0
0.5,13.0,23.0,1.0,0.05623115811122126,3.0,6.0,0.15761326559107486,0.22142786801900244,2.0,1.0,0.0,4.0
0.5,13.0,24.0,1.0,0.8862793172708042,10.0,7.0,0.41912557866157596,0.33107482107678016,2.0,0.0,1.0,0.0
0.5,13.0,25.0,0.0,0.08909870262948061,3.0,9.0,0.14771306455378183,0.4649716746568506,0.0,3.0,0.0,3.0
0.5,13.0,26.0,0.0,0.3778108244999251,0.0,11.0,1.3807468605238444e-17,0.658205344782807,0.0,2.0,0.0,9.0
0.5,13.0,27.0,1.0,0.5315698603800334,16.0,12.0,0.7463639680538782,0.7590065773379256,4.0,0.0,3.0,3.0
0.5,13.0,28.0,1.0,0.8053129768354064,13.0,10.0,0.597729282516445,0.5674384616418228,3.0,0.0,1.0,1.0
0.5,13.0,29.0,0.0,0.2324198173616221,1.0,7.0,0.03347674881644699,0.32733258666355064,0.0,1.0,0.0,5.0
0.5,13.0,30.0,1.0,0.6476472037324098,7.0,5.0,0.3556432379795934,0.292384853992793,2.0,0.0,2.0,2.0
0.5,13.0,31.0,0.0,0.930219983101798,17.0,13.0,0.7328164600178447,0.7460246474166765,3.0,0.0,2.0,1.0
0.5,13.0,32.0,1.0,0.04621648385273969,4.0,5.0,0.22365502298738157,0.19190029426025934,3.0,2.0,0.0,2.0
0.5,13.0,33.0,0.0,0.8380485117397092,12.0,9.0,0.5278251737057224,0.5717848408580554,2.0,0.0,2.0,1.0
0.5,13.0,34.0,0.0,0.6350708931846276,13.0,10.0,0.6095868423609068,0.4783990515391656,2.0,0.0,2.0,1.0
0.5,13.0,35.0,1.0,0.20374173143920016,2.0,5.0,0.08893441434652986,0.2927926145159279,1.0,0.0,0.0,4.0
0.5,13.0,36.0,1.0,0.9028642007319854,11.0,7.0,0.47686591505498693,0.4124514205554974,4.0,0.0,2.0,2.0
0.5,13.0,37.0,1.0,0.9559414655501258,14.0,10.0,0.576685032560117,0.49127820699385266,4.0,0.0,2.0,2.0
0.5,13.0,38.0,1.0,0.5983891128671535,14.0,10.0,0.5257534267135899,0.6071953252312514,4.0,0.0,1.0,1.0
0.5,13.0,39.0,1.0,0.8467636540646619,12.0,12.0,0.5377771951877984,0.7384169369868946,0.0,0.0,2.0,2.0
0.5,13.0,40.0,1.0,0.7795035302687378,7.0,2.0,0.3062988411830806,0.12232983276879354,4.0,0.0,1.0,0.0
0.5,13.0,41.0,0.0,0.35479631962044855,17.0,8.0,0.6724645961660298,0.40073665931862784,7.0,0.0,2.0,0.0
