gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.6,0.0,0.0,1.0,0.8115660497752214,10.0,7.0,0.45616141318055203,0.2530425784239676,3.0,0.0,1.0,1.0
0.6,0.0,1.0,0.0,0.7084090612742915,10.0,8.0,0.48811303659028693,0.436913241052751,1.0,0.0,1.0,0.0
0.6,0.0,2.0,0.0,0.1115284252761577,3.0,4.0,0.12698867293094773,0.17253932475108516,1.0,0.0,0.0,2.0
0.6,0.0,3.0,0.0,0.5667878644753359,11.0,9.0,0.5884192649879841,0.472924176527063,3.0,0.0,0.0,1.0
0.6,0.0,4.0,1.0,0.7927782545875722,13.0,12.0,0.5573367934801571,0.5921048703815833,2.0,0.0,1.0,2.0
0.6,0.0,5.0,1.0,0.8376069301429002,13.0,8.0,0.5862933433578522,0.4630230855089046,1.0,0.0,4.0,0.0
0.6,0.0,6.0,1.0,0.54215157264712,6.0,9.0,0.3412157751778466,0.41709788743603765,0.0,1.0,0.0,2.0
0.6,0.0,7.0,0.0,0.19508382541424796,3.0,10.0,0.17578147246021533,0.45384441677153264,0.0,0.0,0.0,7.0
0.6,0.0,8.0,0.0,0.1891538419557398,4.0,6.0,0.21553251605955825,0.294976256186072,2.0,1.0,0.0,3.0
0.6,0.0,9.0,0.0,0.8447919515890095,7.0,7.0,0.28933263622230765,0.2884656212060326,0.0,0.0,1.0,1.0
0.6,0.0,10.0,0.0,0.39218655273731173,6.0,9.0,0.316255242686563,0.49092134009492466,0.0,1.0,1.0,3.0
0.6,0.0,11.0,0.0,0.7581254268456087,12.0,11.0,0.6183248880859273,0.536024224060242,2.0,0.0,1.0,2.0
0.6,0.0,12.0,1.0,0.17594624335718667,5.0,8.0,0.20618060082346643,0.4208753756041982,3.0,2.0,0.0,4.0
0.6,0.0,13.0,0.0,0.5943725898451883,8.0,9.0,0.2890044769610626,0.41943668104197984,0.0,0.0,0.0,1.0
0.6,0.0,14.0,0.0,0.2772981252336707,13.0,11.0,0.7280292512588337,0.5534612894512693,3.0,0.0,0.0,1.0
0.6,0.0,15.0,1.0,0.6093604035242994,12.0,9.0,0.5778650374278964,0.5257055509478847,2.0,0.0,2.0,1.0
0.6,0.0,16.0,1.0,0.5325492425401087,10.0,8.0,0.4502876431642391,0.349946552987334,1.0,0.0,2.0,1.0
0.6,0.0,17.0,0.0,0.7465188075161571,10.0,7.0,0.49163771571350234,0.3671421435905785,2.0,0.0,3.0,2.0
0.6,0.0,18.0,1.0,0.5394966813537827,11.0,6.0,0.42394811784402325,0.24601357180538472,2.0,0.0,3.0,0.0
0.6,0.0,19.0,0.0,0.00688832448709642,7.0,10.0,0.3404007516156742,0.5295495070234478,0.0,1.0,1.0,3.0
0.6,0.0,20.0,0.0,0.5401340199232921,0.0,4.0,1.4867610799173518e-17,0.21647935936480828,0.0,2.0,0.0,2.0
0.6,0.0,21.0,1.0,0.6788847379929115,17.0,5.0,0.7896652285810126,0.2011510061039447,5.0,0.0,7.0,0.0
0.6,0.0,22.0,1.0,0.30425269817816414,10.0,6.0,0.5023810118315704,0.2373090219780748,2.0,1.0,4.0,1.0
0.6,0.0,23.0,0.0,0.47551534821021124,14.0,16.0,0.750651184455292,0.9308980404260472,4.0,0.0,2.0,8.0
0.6,0.0,24.0,1.0,0.44868284518991974,12.0,10.0,0.4759727940103986,0.6140914150236002,3.0,0.0,1.0,2.0
0.6,0.0,25.0,0.0,0.4116491864606503,4.0,8.0,0.10691808086965934,0.42903150944095503,2.0,3.0,0.0,3.0
0.6,0.0,26.0,1.0,0.9864807805099727,12.0,9.0,0.6416009160566042,0.5164442910707966,1.0,0.0,2.0,0.0
0.6,0.0,27.0,1.0,0.11533141934810909,1.0,6.0,0.019225191436534273,0.32988642178206845,1.0,3.0,0.0,3.0
