gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.3,0,0,0,1,0,3
-0.3,0,1,2,1,0,0
-0.3,0,2,1,3,0,2
-0.3,0,3,0,1,0,4
-0.3,0,4,0,1,0,0
-0.3,0,5,0,2,0,1
-0.3,0,6,0,2,0,0
-0.3,0,7,0,1,5,0
-0.3,0,8,0,1,1,1
-0.3,0,9,0,2,1,0
-0.3,0,10,1,1,0,1
-0.3,0,11,1,2,0,3
-0.3,0,12,0,1,0,1
-0.3,0,13,0,0,4,0
-0.3,0,14,0,0,3,0
-0.3,0,15,2,1,1,0
-0.3,0,16,1,1,1,0
-0.3,0,17,0,2,0,1
-0.3,0,18,1,1,0,1
-0.3,0,19,2,5,1,1
-0.3,0,20,0,2,0,2
-0.3,0,21,0,0,0,2
-0.3,0,22,0,2,2,0
-0.3,0,23,1,0,0,2
-0.3,0,24,1,0,1,0
-0.3,0,25,0,1,4,0
-0.3,0,26,1,0,4,0
-0.3,0,27,0,0,0,2
-0.3,0,28,0,1,1,0
-0.3,0,29,1,0,2,1
-0.3,0,30,0,2,1,0
-0.3,0,31,0,0,0,3
-0.3,0,32,0,0,1,0
-0.3,0,33,1,0,1,1
-0.3,0,34,0,1,0,1
-0.3,0,35,0,0,1,1
-0.3,0,36,1,1,2,0
-0.3,0,37,0,0,0,0
-0.3,0,38,0,3,0,0
-0.3,0,39,0,2,0,0
-0.3,0,40,0,3,1,2
-0.3,0,41,0,1,0,1
-0.3,0,42,1,2,4,1
-0.3,0,43,1,0,1,0
-0.3,0,44,3,1,2,0
-0.3,0,45,0,1,4,0
-0.3,0,46,2,1,2,1
-0.3,0,47,0,0,1,2
-0.3,0,48,4,2,0,1
-0.3,0,49,0,0,0,1
-0.3,0,50,0,0,1,1
-0.3,0,51,0,1,2,0
-0.3,0,52,0,1,1,0
-0.3,0,53,0,0,1,1
-0.3,0,54,0,1,1,0
-0.3,0,55,1,0,1,0
-0.3,0,56,0,2,0,1
-0.3,0,57,0,0,1,0
-0.3,0,58,1,1,3,0
-0.3,0,59,0,0,0,3
-0.3,0,60,0,0,0,1
-0.3,0,61,0,2,0,0
-0.3,0,62,0,2,0,2
-0.3,0,63,1,0,0,1
-0.3,0,64,0,2,1,1
-0.3,0,65,0,1,0,5
-0.3,0,66,0,2,0,1
-0.3,0,67,0,4,0,0
-0.3,0,68,0,1,0,1
-0.3,0,69,0,0,0,4
-0.3,0,70,0,3,0,1
-0.3,0,71,0,0,3,0
-0.3,0,72,1,0,2,0
-0.3,0,73,1,0,2,0
-0.3,0,74,0,1,0,0
-0.3,0,75,1,1,2,1
-0.3,0,76,2,1,0,0
-0.3,0,77,0,0,1,0
-0.3,0,78,2,1,0,0
-0.3,0,79,1,0,2,1
-0.3,0,80,0,2,0,1
-0.3,0,81,0,1,0,0
-0.3,0,82,0,3,0,0
-0.3,0,83,0,1,0,1
-0.3,0,84,2,0,0,0
-0.3,0,85,0,2,0,1
-0.3,0,86,0,1,0,3
-0.3,0,87,1,0,0,0
-0.3,0,88,0,2,0,1
-0.3,0,89,0,1,0,2
-0.3,0,90,0,0,0,0
-0.3,0,91,1,3,3,0
-0.3,0,92,0,0,0,2
-0.3,0,93,1,0,1,0
-0.3,0,94,0,1,3,2
-0.3,0,95,0,3,5,1
-0.3,0,96,0,5,0,1
-0.3,0,97,0,1,0,1
-0.3,0,98,0,0,2,0
-0.3,0,99,0,0,2,0
-0.3,0,100,0,4,4,0
-0.3,0,101,1,1,0,0
-0.3,0,102,0,2,0,1
-0.3,0,103,1,0,0,0
-0.3,0,104,2,1,3,0
-0.3,0,105,0,1,0,1
-0.3,0,106,1,2,2,2
-0.3,0,107,1,0,3,1
-0.3,0,108,0,1,0,1
-0.3,0,109,0,1,0,1
-0.3,0,110,1,0,2,0
-0.3,0,111,0,1,0,1
-0.3,0,112,0,1,0,1
-0.3,0,113,1,0,0,3
-0.3,0,114,0,0,0,3
-0.3,0,115,0,1,3,0
-0.3,0,116,0,0,0,2
-0.3,0,117,0,0,0,0
-0.3,0,118,0,2,0,0
-0.3,0,119,3,1,1,0
-0.3,0,120,2,0,2,0
-0.3,0,121,0,3,0,2
-0.3,0,122,0,0,0,3
-0.3,0,123,3,0,2,0
-0.3,0,124,1,1,0,0
-0.3,0,125,0,2,0,0
-0.3,0,126,1,0,3,0
-0.3,0,127,0,3,1,2
-0.3,0,128,0,3,2,1
-0.3,0,129,0,0,1,0
-0.3,0,130,1,2,5,0
-0.3,0,131,2,0,1,1
-0.3,0,132,1,3,1,0
-0.3,0,133,0,1,1,0
-0.3,0,134,0,0,1,1
-0.3,0,135,1,1,4,0
-0.3,0,136,2,1,0,0
-0.3,0,137,1,0,5,0
-0.3,0,138,0,1,0,1
-0.3,0,139,0,0,2,0
-0.3,0,140,0,0,2,0
-0.3,0,141,0,1,2,2
-0.3,0,142,0,0,1,0
-0.3,0,143,2,0,3,0
-0.3,0,144,4,1,2,0
