gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,0.0,0.0,1.0,0.3790985254337701,3.0,6.0,0.15306369289708505,0.20007000713728837,1.0,2.0,1.0,3.0
-0.8,0.0,1.0,0.0,0.567098167179614,1.0,6.0,0.044576717487351876,0.2284309472618701,1.0,3.0,0.0,3.0
-0.8,0.0,2.0,0.0,0.5955925126571219,18.0,13.0,1.0,0.6130984843504951,5.0,0.0,2.0,2.0
-0.8,0.0,3.0,1.0,0.4498588988554526,16.0,9.0,0.7280620296248409,0.3617366005587753,6.0,0.0,2.0,1.0
-0.8,0.0,4.0,1.0,0.45701982539471864,11.0,4.0,0.610766125309546,0.1880914161109068,5.0,0.0,3.0,1.0
-0.8,0.0,5.0,1.0,0.3116509978753955,4.0,8.0,0.23862777162083784,0.3370757500395651,1.0,2.0,1.0,4.0
-0.8,0.0,6.0,0.0,0.3133373611975704,1.0,3.0,0.08990999776586248,0.13779563983860033,1.0,2.0,0.0,1.0
-0.8,0.0,7.0,0.0,0.29485946100158045,5.0,10.0,0.3731764358361203,0.4942444915918792,3.0,5.0,1.0,4.0
-0.8,0.0,8.0,0.0,0.5307724612356264,13.0,8.0,0.7623158177761208,0.4508726019449185,2.0,0.0,5.0,2.0
-0.8,0.0,9.0,1.0,0.3962220215994189,7.0,11.0,0.47362381991077324,0.5330182747570709,2.0,2.0,0.0,4.0
-0.8,0.0,10.0,1.0,0.7187503721849594,10.0,6.0,0.5351265662461866,0.28925872285609183,4.0,0.0,3.0,3.0
-0.8,0.0,11.0,1.0,0.5480919969498905,14.0,6.0,0.6474529912563418,0.3537632493553653,7.0,0.0,1.0,0.0
-0.8,0.0,12.0,1.0,0.582075082707141,13.0,9.0,0.6339217149510982,0.3617066525305642,1.0,0.0,3.0,0.0
-0.8,0.0,13.0,1.0,0.16765093779104812,7.0,7.0,0.3639718056685902,0.23075721966127813,4.0,3.0,1.0,2.0
-0.8,0.0,14.0,1.0,0.029277197597395443,3.0,7.0,0.13248971418995487,0.31228402147637585,3.0,1.0,0.0,6.0
-0.8,0.0,15.0,1.0,0.20874191791401042,3.0,11.0,0.14160202711370812,0.5360132670791686,2.0,2.0,0.0,8.0
-0.8,0.0,16.0,0.0,0.022575436577678576,4.0,7.0,0.2472794944146797,0.27134886725149576,1.0,0.0,0.0,4.0
-0.8,0.0,17.0,1.0,0.6346744421866868,7.0,8.0,0.36308434872698725,0.2677997066740202,0.0,0.0,3.0,4.0
-0.8,0.0,18.0,1.0,0.2244417391997393,3.0,9.0,0.12393297814678264,0.38597573700593174,2.0,2.0,0.0,6.0
-0.8,0.0,19.0,1.0,0.398309870301092,15.0,10.0,0.7089006328774176,0.39332983238432817,4.0,0.0,2.0,1.0
-0.8,0.0,20.0,0.0,0.6195007984120342,12.0,10.0,0.630933820004732,0.4806175016342949,3.0,0.0,1.0,2.0
-0.8,0.0,21.0,1.0,0.0019484974344642358,7.0,6.0,0.39569843752410866,0.24172647124580174,4.0,2.0,0.0,1.0
-0.8,0.0,22.0,0.0,0.03566996876236428,3.0,5.0,0.16796358941623452,0.2164709223922052,1.0,1.0,0.0,2.0
-0.8,0.0,23.0,0.0,0.37678955251943136,3.0,5.0,0.15356943280299867,0.15623846939716246,2.0,3.0,0.0,1.0
-0.8,0.0,24.0,1.0,0.21644443407337655,4.0,3.0,0.17904266389451756,0.13567060559226185,3.0,1.0,0.0,1.0
-0.8,0.0,25.0,1.0,0.4048454828536602,3.0,4.0,0.13773971207566738,0.15324765415209252,3.0,1.0,0.0,3.0
-0.8,0.0,26.0,0.0,0.8659941335573602,11.0,8.0,0.5565013069813446,0.31355298070937365,3.0,0.0,4.0,4.0
-0.8,0.0,27.0,0.0,0.25572342020850636,5.0,11.0,0.2747322612396855,0.47440676229713863,3.0,3.0,0.0,6.0
-0.8,0.0,28.0,0.0,0.6014348792249553,1.0,3.0,0.03063565577732154,0.11430838639388403,1.0,1.0,0.0,2.0
-0.8,0.0,29.0,0.0,0.22690134085102698,8.0,9.0,0.41319223141464156,0.42722824072657845,4.0,1.0,1.0,5.0
-0.8,0.0,30.0,0.0,0.20608794746311854,5.0,3.0,0.20204273191272315,0.09838897547032469,3.0,1.0,1.0,1.0
-0.8,0.0,31.0,0.0,0.17591993612773082,10.0,6.0,0.6160609534309401,0.2538218583607876,6.0,0.0,0.0,2.0
-0.8,0.0,32.0,0.0,0.8885993262120673,16.0,8.0,0.9188548723312333,0.40258963032972256,4.0,0.0,5.0,1.0
-0.8,0.0,33.0,1.0,0.6715822963723029,14.0,11.0,0.7255422064280618,0.5125005271575657,0.0,0.0,3.0,0.0
-0.8,0.0,34.0,1.0,0.37582036742565106,1.0,7.0,0.06286119103299495,0.3591822717210268,1.0,2.0,0.0,5.0
-0.8,0.0,35.0,1.0,0.01798798449939376,7.0,6.0,0.41660950950741815,0.2768151703410273,5.0,1.0,0.0,3.0
-0.8,0.0,36.0,1.0,0.3525379118118491,12.0,10.0,0.6317875791481987,0.5296222680973541,4.0,2.0,2.0,2.0
-0.8,0.0,37.0,0.0,0.30602276252477023,7.0,10.0,0.40568743490990133,0.5539372505726382,2.0,1.0,1.0,5.0
