trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,8.3051,4.0685,4.2366,9.6592,4.701,4.9582,1.137117149235584,5.4522,0.6612292570976633,-0.10000000000001588,53
pre,20.0,10.4037,5.2596,5.1441,82.7291,42.1204,40.6087,8.40854015542686,4.5037,0.07324465412690721,-0.10000000000001588,53
post,20.0,7.7437,3.9209,3.8228,8.8221,4.1852,4.6369,1.122974016897177,4.9605,0.6668296499985351,-0.10000000000001588,22
pre,20.0,9.4753,5.0605,4.4148,30.0291,15.4389,14.5902,2.934840814654465,4.2181,0.20721444892982668,-0.10000000000001588,22
post,20.0,8.3084,4.3575,3.9509,9.4725,4.9822,4.4903,1.1162248219022883,5.2813,0.6558562055253034,-0.10000000000001588,49
pre,20.0,9.9929,4.8983,5.0946,35.9786,16.4246,19.554,3.4554660479292263,5.328,0.19521133501787463,-0.10000000000001588,49
post,20.0,7.785,3.8034,3.9816,8.4702,4.0507,4.4195,1.0733931726772212,4.8402,0.6682309455860024,-0.10000000000001588,46
pre,20.0,9.5057,4.5605,4.9452,42.2342,20.6777,21.5565,4.495687438281325,4.4338,0.1401092307001419,-0.10000000000001588,46
post,20.0,7.6377,3.7768,3.8609,8.7684,4.4559,4.3125,1.1285982904132494,5.0044,0.6665846276332978,-0.10000000000001588,30
pre,20.0,9.134,4.5815,4.5525,26.8805,13.9607,12.9198,2.9448129016637914,4.4685,0.2010542719433842,-0.10000000000001588,30
post,20.0,7.9645,3.9502,4.0143,8.95,4.3138,4.6362,1.1029890025627695,5.0296,0.6609709874747681,-0.10000000000001588,77
pre,20.0,9.5907,4.7316,4.8591,33.5061,16.6132,16.8929,3.2385034544655595,4.5225,0.21194247127295518,-0.10000000000001588,77
post,20.0,8.4538,4.417,4.0368,10.0546,4.9617,5.0929,1.1621166949224568,5.6272,0.6542803956886719,-0.10000000000001588,24
pre,20.0,10.1026,5.3048,4.7978,43.4228,22.1617,21.2611,4.148979851472693,4.6778,0.142750650647427,-0.10000000000001588,24
post,20.0,8.5992,4.3343,4.2649,9.9202,5.1245,4.7957,1.1296049032624111,5.447,0.6471114761503364,-0.10000000000001588,20
pre,20.0,10.4107,5.2677,5.143,69.2673,34.3254,34.9419,7.478908483174779,4.3933,0.07389278284060119,-0.10000000000001588,20
post,20.0,7.8859,3.8414,4.0445,8.9427,4.2838,4.6589,1.1100127284297128,5.0747,0.6625167158682003,-0.10000000000001588,91
pre,20.0,9.588,4.7507,4.8373,42.2755,21.8727,20.4028,4.780556137955685,4.7395,0.13055141704997494,-0.10000000000001588,91
post,20.0,7.7542,4.1482,3.606,8.5119,4.591,3.9209,1.0789949878070435,4.7731,0.6560138096585082,-0.10000000000001588,96
pre,20.0,9.3221,5.1158,4.2063,45.7025,24.0749,21.6276,5.643793502093552,4.2337,0.10269220726811697,-0.10000000000001588,96
post,20.0,7.9137,3.7401,4.1736,8.8862,4.1866,4.6996,1.1053816761782524,5.0454,0.6738925930428428,-0.10000000000001588,98
pre,20.0,9.9075,4.6636,5.2439,47.2628,21.1995,26.0633,4.60607965244846,6.7684,0.17882500293950004,-0.10000000000001588,98
post,20.0,7.7074,3.9323,3.7751,8.5411,4.4145,4.1266,1.0868015924660586,4.9117,0.6748378442996774,-0.10000000000001588,81
pre,20.0,9.6737,4.9631,4.7106,31.2748,15.2897,15.9851,3.0745183274437786,4.188,0.19000974448089403,-0.10000000000001588,81
post,20.0,8.3551,4.1359,4.2192,9.4275,4.6796,4.7479,1.1104124113231626,5.3251,0.6686696725870689,-0.10000000000001588,75
pre,20.0,10.2232,4.9364,5.2868,32.1974,15.4764,16.721,2.950114129151242,4.6734,0.20567070715927394,-0.10000000000001588,75
post,20.0,8.1592,4.0611,4.0981,9.0006,4.5246,4.476,1.0809755486471722,5.184,0.6677545664407171,-0.10000000000001588,80
pre,20.0,10.3089,5.4594,4.8495,70.2568,38.4389,31.8179,6.655968205753599,7.0362,0.13579233389146958,-0.10000000000001588,80
post,20.0,7.799,3.525,4.274,8.696,3.9595,4.7365,1.091838469994974,5.0556,0.6744829685116506,-0.10000000000001588,93
pre,20.0,9.4099,4.364,5.0459,37.3767,18.102,19.2747,4.051426184155696,4.5811,0.15910583392210398,-0.10000000000001588,93
post,20.0,8.2196,4.2922,3.9274,9.2618,5.0294,4.2324,1.109366311779563,5.269,0.6676621807545453,-0.10000000000001588,61
pre,20.0,10.3623,5.3517,5.0106,63.4454,32.0756,31.3698,6.072172959420691,4.9156,0.1002266003343237,-0.10000000000001588,61
post,20.0,8.3546,4.2476,4.107,9.5497,5.1926,4.3571,1.1179826132346515,5.4547,0.6622700916333517,-0.10000000000001588,4
pre,20.0,10.079,5.2213,4.8577,44.5933,24.2834,20.3099,4.609685982592326,5.7045,0.17144495689643333,-0.10000000000001588,4
post,20.0,7.895,4.2264,3.6686,8.9704,4.6844,4.286,1.114738333741422,5.1268,0.6696930264074596,-0.10000000000001588,18
pre,20.0,9.7299,5.2104,4.5195,41.201,22.5401,18.6609,4.34602313971789,5.9182,0.16077288218266525,-0.10000000000001588,18
post,20.0,8.2316,4.1412,4.0904,9.2421,4.6659,4.5762,1.1087891993591812,5.1203,0.6581321686202545,-0.10000000000001588,65
pre,20.0,10.0588,5.2417,4.8171,54.8428,30.9977,23.8451,5.398178735652376,7.8476,0.18053216849501982,-0.10000000000001588,65
post,20.0,7.9112,3.9532,3.958,8.8304,4.5035,4.3269,1.0974466764019362,5.111,0.6757431567330484,-0.10000000000001588,44
pre,20.0,9.6905,4.889,4.8015,47.4148,23.3173,24.0975,4.905107027465918,3.8064,0.11318538172219125,-0.10000000000001588,44
post,20.0,8.0887,4.0642,4.0245,9.2833,4.6981,4.5852,1.1255498800946289,5.0927,0.6449111887433042,-0.10000000000001588,23
pre,20.0,10.0065,5.0983,4.9082,45.0413,24.6909,20.3504,4.427163173934674,5.8805,0.19930956008895467,-0.10000000000001588,23
post,20.0,8.4118,4.0091,4.4027,9.5747,4.5815,4.9932,1.1163726833175271,5.4029,0.6591500213498767,-0.10000000000001588,57
pre,20.0,10.1107,4.7959,5.3148,42.6667,19.0997,23.567,4.267229906398257,5.5049,0.1479747975212435,-0.10000000000001588,57
post,20.0,8.029,4.2118,3.8172,8.9174,4.5478,4.3696,1.0932209008563216,4.9112,0.6503551070168604,-0.10000000000001588,31
pre,20.0,9.8194,5.2881,4.5313,48.745,27.5226,21.2224,4.7124249718290105,7.2822,0.19757613611310074,-0.10000000000001588,31
post,20.0,8.235,4.2864,3.9486,9.4306,4.9629,4.4677,1.1359335697897284,5.3106,0.6662973216172382,-0.10000000000001588,37
pre,20.0,10.2207,5.4004,4.8203,41.9833,22.4679,19.5154,3.9573251662788644,4.7467,0.15685326304370514,-0.10000000000001588,37
post,20.0,8.0575,4.009,4.0485,8.9358,4.3747,4.5611,1.091641406262939,4.9858,0.6593311833265241,-0.10000000000001588,52
pre,20.0,9.7073,4.8089,4.8984,29.1238,14.9745,14.1493,2.8763576397368307,4.429,0.20633646873121536,-0.10000000000001588,52
post,20.0,7.9731,4.5471,3.426,9.0305,5.2905,3.74,1.1127323769875372,5.3815,0.6878800970099143,-0.10000000000001588,60
pre,20.0,10.3074,5.818,4.4894,45.0154,25.3778,19.6376,4.444302241480536,6.6734,0.16490709280658494,-0.10000000000001588,60
post,20.0,8.0807,3.8994,4.1813,8.8814,4.1684,4.713,1.0812417818399502,5.0592,0.6741538314770391,-0.10000000000001588,29
pre,20.0,9.6734,4.5806,5.0928,29.8008,12.1988,17.602,2.879541778992858,6.9676,0.3025006472676671,-0.10000000000001588,29
post,20.0,8.3612,4.1807,4.1805,9.3094,4.5214,4.788,1.0922195059734081,5.2904,0.6707832990546181,-0.10000000000001588,82
pre,20.0,10.4183,5.164,5.2543,54.3736,28.4564,25.9172,5.7638487101232645,4.7412,0.10260330248724032,-0.10000000000001588,82
post,20.0,8.251,4.1117,4.1393,9.7798,4.7946,4.9852,1.1580967524358001,5.4392,0.6605160838399187,-0.10000000000001588,69
pre,20.0,10.2714,5.1853,5.0861,79.1211,40.4821,38.639,8.182315357646708,4.7569,0.0867725538283841,-0.10000000000001588,69
post,20.0,8.4023,4.0905,4.3118,9.3792,4.6378,4.7414,1.0952007948966793,5.242,0.6596824115563147,-0.10000000000001588,26
pre,20.0,10.3014,5.1751,5.1263,58.18,29.276,28.904,5.485759829666707,4.0902,0.10381698180109586,-0.10000000000001588,26
post,20.0,8.2941,4.343,3.9511,9.4184,4.8927,4.5257,1.1140368346232286,5.3334,0.669255846794191,-0.10000000000001588,13
pre,20.0,10.0448,5.2827,4.7621,51.3332,26.948,24.3852,5.232724427048285,6.2456,0.16276050690877683,-0.10000000000001588,13
post,20.0,8.076,4.0982,3.9778,9.5279,4.8692,4.6587,1.1546538000055315,5.3879,0.6668806250724216,-0.10000000000001588,92
pre,20.0,9.9488,4.7456,5.2032,52.9593,21.8935,31.0658,5.104054989247655,9.5229,0.22434895151570247,-0.10000000000001588,92
post,20.0,7.7986,3.7124,4.0862,8.4806,4.1025,4.3781,1.0703189370768178,4.8826,0.6740264887231633,-0.10000000000001588,27
pre,20.0,9.6234,4.4656,5.1578,43.5915,18.7607,24.8308,5.176239649846269,6.5833,0.16519442000739556,-0.10000000000001588,27
post,20.0,7.8824,3.6585,4.2239,8.8905,3.9657,4.9248,1.103271248272364,5.2673,0.6856560753526404,-0.10000000000001588,6
pre,20.0,9.5374,4.4409,5.0965,31.4645,14.9025,16.562,3.339280514021193,4.7389,0.1916149060120411,-0.10000000000001588,6
post,20.0,8.2905,4.3368,3.9537,9.6857,5.1273,4.5584,1.1447771690959023,5.5061,0.6671002711737867,-0.10000000000001588,87
pre,20.0,10.2247,5.4232,4.8015,70.3719,38.0128,32.3591,7.167229803993833,8.4125,0.1319120148691121,-0.10000000000001588,87
post,20.0,8.1323,4.2446,3.8877,9.5669,5.1775,4.3894,1.1502861775509523,5.4487,0.6701472049384324,-0.10000000000001588,7
pre,20.0,9.7782,4.9687,4.8095,43.8202,22.7322,21.088,4.999050088710369,4.3996,0.11939439469245834,-0.10000000000001588,7
post,20.0,8.1559,3.8288,4.3271,9.1197,4.0462,5.0735,1.1019259389473492,5.1467,0.6647193418093086,-0.10000000000001588,33
pre,20.0,9.9641,4.5651,5.399,58.1496,26.4836,31.666,5.933665733383389,5.8964,0.13707505391505193,-0.10000000000001588,33
post,20.0,8.1332,3.9651,4.1681,9.1812,4.5899,4.5913,1.1100974369491967,5.1636,0.6624610750398513,-0.10000000000001588,38
pre,20.0,10.0547,4.846,5.2087,45.1368,22.6053,22.5315,4.457802992514693,4.4846,0.1307154532742782,-0.10000000000001588,38
post,20.0,8.3376,4.0998,4.2378,9.2183,4.5267,4.6916,1.0890443817730626,5.1499,0.666079374207745,-0.10000000000001588,71
pre,20.0,10.7629,5.1876,5.5753,91.6733,40.6074,51.0659,8.712951322881311,10.8439,0.13879012778579794,-0.10000000000001588,71
post,20.0,7.9184,3.9571,3.9613,8.7571,4.2823,4.4748,1.0847364479138202,5.0213,0.6701950211179596,-0.10000000000001588,10
pre,20.0,10.1486,5.1885,4.9601,63.919,35.4805,28.4385,6.728171645122496,7.4836,0.13080253020969287,-0.10000000000001588,10
post,20.0,8.0439,4.0651,3.9788,8.9078,4.5858,4.322,1.085008960296869,5.098,0.6696678940022308,-0.10000000000001588,21
pre,20.0,9.912,5.0829,4.8291,55.5459,29.397,26.1489,5.481491907718265,4.9695,0.13551790955930382,-0.10000000000001588,21
post,20.0,8.5364,4.1199,4.4165,9.8758,4.6373,5.2385,1.1363732568330545,5.4946,0.657443795905525,-0.10000000000001588,97
pre,20.0,10.2253,4.9489,5.2764,67.3171,31.6301,35.687,7.291995129182498,5.4053,0.0964897238991511,-0.10000000000001588,97
post,20.0,8.0653,4.1197,3.9456,8.9708,4.7744,4.1964,1.09026849609434,5.1402,0.6773560861702344,-0.10000000000001588,58
pre,20.0,9.8735,4.91,4.9635,45.6865,22.3339,23.3526,4.486229352215364,4.3529,0.14244361627116478,-0.10000000000001588,58
post,20.0,8.1114,4.2864,3.825,9.4054,5.0033,4.4021,1.1372607773547045,5.3132,0.6538036288925664,-0.10000000000001588,45
