gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.1,95,0.333876915,0.020863147,-0.138843284,0.044194246
-0.1,96,0.34686217,-0.014285356,-0.124152129,-0.022957023
-0.1,97,0.382282834,-0.003191261,-0.15232959,-0.017227171
-0.1,98,0.364964279,-0.048694529,-0.123362087,0.053049167
-0.1,99,0.368421053,0.017026505,-0.121567509,0.027216391
-0.2,0,0.381896383,0.00969672,-0.138207006,-0.044677392
-0.2,1,0.375,0.0097772,-0.207014738,-0.006909276
-0.2,2,0.273979033,0.002373738,-0.129147147,0.07859294
-0.2,3,0.329396457,-0.010631645,-0.144533509,0.021828258
-0.2,4,0.414908579,0.014778325,-0.145890087,-0.038024257
-0.2,5,0.373586655,-0.058096833,-0.164125502,-0.032421832
-0.2,6,0.430123998,0.014097095,-0.149175576,-0.012597656
-0.2,7,0.351823937,-0.005025126,-0.141375911,0.031567312
-0.2,8,0.339962873,-0.002501566,-0.151956257,0.014100511
-0.2,9,0.412565279,-0.000506506,-0.193912352,-0.009444652
-0.2,10,0.426988106,-0.010006313,-0.125538333,0.060127109
-0.2,11,0.379860469,0.012375004,-0.154421762,-0.022557706
-0.2,12,0.349995937,-0.017539748,-0.128020636,0.069497971
-0.2,13,0.381896383,0.017498465,-0.172321293,0.029890444
-0.2,14,0.422296901,0.03970591,-0.171736626,-0.004590104
-0.2,15,0.334296851,0.042318938,-0.163422704,-0.014723274
-0.2,16,0.365834324,-0.012957414,-0.168393548,-0.078601388
-0.2,17,0.344983625,-0.003479961,-0.166729743,-0.019654986
-0.2,18,0.378118809,0.041564027,-0.127281041,-0.029110616
-0.2,19,0.317191669,-0.030006438,-0.120752184,-0.01991702
-0.2,20,0.330981709,-0.043871713,-0.119655794,0.022690795
-0.2,21,0.353541428,-0.020025501,-0.168087627,0.019016462
-0.2,22,0.409701161,0.019993875,-0.098930257,0.036381708
-0.2,23,0.374959798,-0.03010301,-0.170337951,0.055958968
-0.2,24,0.399155062,0.026829425,-0.128249721,-0.026445529
-0.2,25,0.34212892,0.022315156,-0.149118566,0.024049834
-0.2,26,0.329995812,0.032244452,-0.168182445,-0.018650838
-0.2,27,0.3799845,0.036233551,-0.108433525,-0.021337762
-0.2,28,0.369964561,-0.002689571,-0.174461646,0.016838405
-0.2,29,0.312490332,0.046962427,-0.152226501,0.04854364
-0.2,30,0.382499035,-0.041275563,-0.117677879,0.00587383
-0.2,31,0.364427985,0.059288587,-0.112234308,0.017179417
-0.2,32,0.375343961,0.066097687,-0.10374839,-0.000986288
-0.2,33,0.357274042,0.05249852,-0.096551482,-0.00020372
-0.2,34,0.404627892,-0.010157837,-0.162291161,-0.03453917
-0.2,35,0.404464018,0.01,-0.143297786,0.024701563
-0.2,36,0.377475683,0.032462206,-0.135873929,-0.027379056
-0.2,37,0.326087507,-0.051478642,-0.102775723,0.033951132
-0.2,38,0.270898806,-0.012283966,-0.140311818,-0.020235644
-0.2,39,0.32232105,0.012486113,-0.136314833,-0.024040243
-0.2,40,0.357056972,-0.06042417,-0.128467429,-0.011397231
-0.2,41,0.28964038,-0.052699026,-0.125369868,0.057256199
-0.2,42,0.292251182,-0.022961931,-0.077436658,0.007391352
-0.2,43,0.301162381,-0.057699971,-0.087316492,-0.024650156
-0.2,44,0.432958651,0.040219021,-0.089362454,0.001068049
-0.2,45,0.309378441,0.002498441,-0.136393535,0.001320584
-0.2,46,0.377369386,-0.108125052,-0.139367365,0.00663316
-0.2,47,0.377871951,-0.055059347,-0.123193241,-0.03591405
-0.2,48,0.32998325,0.012053881,-0.144233315,0.00516751
-0.2,49,0.367332936,0.027376902,-0.193802453,-0.021509746
