gamma,replicate,assort_final,assort_initial
-0.1,0.0,0.14185258280370364,0.004233841625443281
-0.1,1.0,0.08584168218891051,-0.030111132357280912
-0.1,2.0,0.12910459052784098,-0.004149076009473283
-0.1,3.0,0.1073801710855083,0.026495315666820018
-0.1,4.0,0.1255383151789648,0.019830944160114484
-0.1,5.0,0.09977194439701455,-0.024144269084108026
-0.1,6.0,0.13745638062824156,0.01830495124130211
-0.1,7.0,0.14548343359584964,0.03935079227603605
-0.1,8.0,0.14657490489927918,-0.0029022337233141553
-0.1,9.0,0.09416290884252604,-0.007647053966751636
-0.1,10.0,0.11079374839536639,-0.03797698740357139
-0.1,11.0,0.08796851798489538,-0.030234033023934282
-0.1,12.0,0.12602726653153626,-0.049987804210349755
-0.1,13.0,0.11261684227405035,-0.008388899930079246
-0.1,14.0,0.0918668692417565,-0.01995359632857452
-0.1,15.0,0.06441208367233557,-0.03611612902816449
-0.1,16.0,0.1917396517705832,0.04563535591035931
-0.1,17.0,0.10078678709170925,0.009356221904335972
-0.1,18.0,0.11336219404220617,0.009440434306441217
-0.1,19.0,0.1056640512395163,0.001067328382697371
-0.1,20.0,0.11685876333420316,-0.021851456149310517
-0.1,21.0,0.11428886084328616,0.021234624167423843
-0.1,22.0,0.14093717841435177,0.030647447066906537
-0.1,23.0,0.049866611646740465,-0.056376934591830095
-0.1,24.0,0.08513688396183891,-0.031273737357526275
-0.1,25.0,0.11984488484872423,0.025946750460644267
-0.1,26.0,0.08747253607816624,-0.0350148516103129
-0.1,27.0,0.10651810851088511,0.013049928981454207
-0.1,28.0,0.1864389469019312,-0.030211694949369147
-0.1,29.0,0.14991129153671715,0.022474443900165713
-0.1,30.0,0.09479785111410954,-0.029471029066225275
-0.1,31.0,0.15371649521659503,0.06136050753397065
-0.1,32.0,0.07222942345533506,-0.061781631237433667
-0.1,33.0,0.17666276875993045,0.019818950828910577
-0.1,34.0,0.1772226825414031,0.05023141913428936
-0.1,35.0,0.16289945009087006,0.01852996930002074
-0.1,36.0,0.16719110396682166,0.0608892975584916
-0.1,37.0,0.19734679591609516,0.08121986741343346
-0.1,38.0,0.13963255360313667,-0.012300570046743557
-0.1,39.0,0.1264239257787648,-0.01004850242610611
-0.1,40.0,0.13414497851969695,-0.030544019565319144
-0.1,41.0,0.09350076178786314,-0.012161334284999648
-0.1,42.0,0.10578898782253188,-0.011033654319620723
-0.1,43.0,0.10993564839070548,-0.016142389092184416
-0.1,44.0,0.11250317922777833,-0.010219683175515679
-0.1,45.0,0.11644670168657664,0.04282254754354171
-0.1,46.0,0.13041094727142263,0.01163737317756113
-0.1,47.0,0.07161734004346387,-0.06207386907307785
-0.1,48.0,0.14086177285872717,0.023429796244904776
-0.1,49.0,0.09692034830930052,-0.041065398707940105
-0.1,50.0,0.1429350498537412,0.007982060326033673
-0.1,51.0,0.09630888509812721,-0.07031503978007762
-0.1,52.0,0.06807859056730282,-0.027965006740242705
-0.1,53.0,0.13451428297974133,0.03206814048278481
-0.1,54.0,0.14443753866077116,-0.010172171301946836
-0.1,55.0,0.07987332334179346,-0.04960825356750237
-0.1,56.0,0.14447675761434517,0.011858307880900205
-0.1,57.0,0.09726749448187336,-0.04383749138368965
-0.1,58.0,0.14932002816743847,0.01414551312077462
-0.1,59.0,0.10342785512255075,-0.010804212273241985
-0.1,60.0,0.13195103437506037,-0.027561949370913767
-0.1,61.0,0.20774107124430874,0.052326167271823515
-0.1,62.0,0.1773758124243241,0.0189220106024812
-0.1,63.0,0.15944720344695465,0.023400058143814333
-0.1,64.0,0.16717103360355232,0.05415041300785102
-0.1,65.0,0.10823235435065384,0.00244107895905394
-0.1,66.0,0.1713093998270891,-0.04081955303329049
-0.1,67.0,0.11055350901538256,0.002186099735295748
-0.1,68.0,0.12312570352860759,-0.021777954688985194
-0.1,69.0,0.14289401015831762,-0.003526384242262062
-0.1,70.0,0.11171427889367955,-0.00714644773653028
-0.1,71.0,0.15960021083567594,0.06081734490795954
-0.1,72.0,0.13998900458692126,-0.019880208341369405
-0.1,73.0,0.16773117187952336,-0.03345062435252231
-0.1,74.0,0.24295149662425336,0.002930018030299476
-0.1,75.0,0.15137406149635255,0.02305394693410569
-0.1,76.0,0.1390622624305909,0.012547701765047657
-0.1,77.0,0.14357164950504847,0.044232916827252854
-0.1,78.0,0.11996320091962544,-0.021902262364319563
-0.1,79.0,0.09094884178898274,-0.019287662796650375
-0.1,80.0,0.08666133382559053,-0.03874564151933779
-0.1,81.0,0.087340923555624,-0.0293184670462575
-0.1,82.0,0.11466409627641058,0.0165574348302196
-0.1,83.0,0.11955882190636176,-0.04792155905421712
-0.1,84.0,0.11160565042875732,-0.012333331852668383
-0.1,85.0,0.13891672522662585,0.015446774419653614
-0.1,86.0,0.15985034516397523,0.0247478899369166
-0.1,87.0,0.156135817590105,-0.04606088264012624
-0.1,88.0,0.15508983805677726,0.02862835125626171
-0.1,89.0,0.0704277950006122,-0.06200862008731708
-0.1,90.0,0.08261900734936592,-0.02005679625614534
-0.1,91.0,0.12654481231805917,0.03075044787181328
-0.1,92.0,0.16145624111396184,0.039338325216015886
-0.1,93.0,0.08913937621972325,-0.05863801854091808
-0.1,94.0,0.1121363981812995,-0.019895959851416973
-0.1,95.0,0.13375019136393898,0.004496320752839045
-0.1,96.0,0.07992280200742727,0.01619364355772082
-0.1,97.0,0.11772889713972637,-0.009975267457567005
-0.1,98.0,0.07110303244752143,-0.03725809774637626
-0.1,99.0,0.2099653182583315,-0.0020033725112351803
-0.2,0.0,0.186659092388984,0.012823091222955545
-0.2,1.0,0.13235059078248207,-0.006170574736531677
-0.2,2.0,0.1338942843974978,-0.04465486054668505
-0.2,3.0,0.11683966664694069,-0.015356547983867387
-0.2,4.0,0.1375015688594505,-0.026171111587296986
-0.2,5.0,0.20208892348966087,-0.006346998740001147
-0.2,6.0,0.15920494626339018,-0.036145349553379606
-0.2,7.0,0.09023425803765343,-0.00800006400076801
-0.2,8.0,0.20588926409906064,0.05937410564017126
-0.2,9.0,0.20233027413988372,0.01435731229887891
-0.2,10.0,0.25106193025642826,0.04049454174526679
-0.2,11.0,0.16555249493219995,-0.02949646170461315
-0.2,12.0,0.1348879017235322,-0.022104613954327248
