Id,Threshold,Type
338,0.9999,1
339,0.0001,0
340,0.9999,0
341,0.0001,0
342,0.0001,1
343,0.9999,0
344,0.9999,0
345,0.9999,1
346,0.0001,1
347,0.9999,1
348,0.9999,1
349,0.0001,1
350,0.9999,0
351,0.0001,0
352,0.6028692944984555,1
353,0.0001,1
354,0.9957995521548625,1
355,0.0001,1
356,0.0001,0
357,0.0001,0
358,0.9999,1
359,0.8614150387103376,1
360,0.820114728622364,1
361,0.9999,1
362,0.9999,0
363,0.5350963336366209,1
364,0.9999,0
365,0.9999,0
366,0.9999,0
367,0.8435721616509071,1
368,0.9999,0
369,0.9999,0
370,0.0001,0
371,0.6003573038594057,0
372,0.0001,0
373,0.0001,0
374,0.9999,1
375,0.7909343116659913,1
376,0.0001,1
377,0.0001,0
378,0.0001,1
379,0.0001,1
380,0.0001,1
381,0.0001,0
382,0.9999,1
383,0.9999,0
384,0.9999,1
385,0.0001,0
386,0.7622677989640044,0
387,0.0001,0
388,0.0001,0
389,0.0001,1
390,0.0001,1
391,0.8527800770869157,1
392,0.9999,1
393,0.0001,1
394,0.0001,1
395,0.0001,1
396,0.9999,1
397,0.0001,1
398,0.9999,1
399,0.9999,1
400,0.9999,1
401,0.9621662081006734,1
402,0.0001,0
403,0.0001,1
404,0.6679923117868861,0
405,0.0001,0
406,0.7167365132162963,0
407,0.6003724775464959,1
408,0.0001,0
409,0.0001,1
410,0.9999,0
411,0.0001,1
412,0.0001,1
413,0.0001,0
414,0.9091123076356402,0
415,0.9999,1
416,0.9999,0
417,0.9999,0
418,0.9999,0
419,0.0001,0
420,0.0001,1
421,0.0001,0
422,0.9999,0
423,0.0001,1
424,0.7502870677795718,0
425,0.0001,1
426,0.0001,0
427,0.9999,0
428,0.0001,1
429,0.9999,1
430,0.0001,0
431,0.9999,0
432,0.9999,1
433,0.0001,0
434,0.9999,1
435,0.9999,1
436,0.9999,0
437,0.0001,1
438,0.0001,0
439,0.0001,1
440,0.0001,1
441,0.0001,1
442,0.0001,1
443,0.0001,0
444,0.0001,0
445,0.6657885662644035,0
446,0.9581031810169625,0
447,0.0001,1
448,0.0001,1
449,0.7972829013801904,0
450,0.7583197109123627,1
451,0.9999,0
452,0.8433041345162648,0
453,0.9999,0
454,0.9999,0
455,0.0001,0
456,0.9999,1
457,0.0001,1
458,0.9999,0
459,0.0001,1
460,0.22127067650743434,0
461,0.9999,1
462,0.0001,1
463,0.7268156351529178,1
464,0.0001,0
465,0.9999,0
466,0.9999,1
467,0.0001,0
468,0.9999,0
469,0.9999,0
470,0.9999,1
471,0.9999,1
472,0.0001,1
473,0.9999,1
474,0.9999,1
475,0.0001,0
476,0.9999,1
477,0.0001,1
478,0.5458868868865799,1
479,0.0001,1
480,0.4001,0
481,0.0001,1
482,0.0001,0
483,0.9999,1
484,0.609415616829309,1
485,0.9999,0
486,0.0001,1
487,0.9999,1
488,0.0001,0
489,0.8043874602611051,0
490,0.9999,0
491,0.0001,0
492,0.9999,0
493,0.0001,0
494,0.0001,0
495,0.0001,0
496,0.0001,1
497,0.0001,0
498,0.0001,0
499,0.0001,1
