Id,Threshold,Type
0,0.0001,0
1,0.0001,0
2,0.0001,1
3,0.0001,1
4,0.0001,0
5,0.0001,0
6,0.9999,0
7,0.0001,1
8,0.9999,1
9,0.7001,1
10,0.0001,1
11,0.9999,1
12,0.0001,1
13,0.9999,1
14,0.0001,0
15,0.0001,1
16,0.9999,1
17,0.9999,0
18,0.0001,1
19,0.0001,0
20,0.7336344185442071,0
21,0.0001,1
22,0.9999,1
23,0.9999,0
24,0.9999,0
25,0.0001,0
26,0.0001,0
27,0.9999,0
28,0.7571448241986967,1
29,0.9999,1
30,0.0001,0
31,0.0001,0
32,0.0001,0
33,0.7001,1
34,0.0001,1
35,0.0001,0
36,0.0001,1
37,0.9999,1
38,0.9999,1
39,0.5999000000000001,0
40,0.0001,0
41,0.0001,0
42,0.0001,0
43,0.9999,0
44,0.9999,1
45,0.9999,0
46,0.9999,0
47,0.0001,0
48,0.9999,1
49,0.9195115199526889,0
50,0.0001,1
51,0.0001,0
52,0.9999,0
53,0.0001,1
54,0.0001,0
55,0.0001,0
56,0.9999,0
57,0.0001,0
58,0.0001,0
59,0.0001,0
60,0.0001,1
61,0.0001,1
62,0.0001,0
63,0.8686773941034879,1
64,0.9999,1
65,0.0001,0
66,0.0001,1
67,0.0001,0
68,0.0001,1
69,0.8265163387629073,1
70,0.0001,0
71,0.0001,1
72,0.8534510161838982,0
73,0.0001,0
74,0.0001,0
75,0.7112226739275436,0
76,0.0001,1
77,0.5080852468547703,0
78,0.0001,1
79,0.9999,1
80,0.0001,1
81,0.0001,0
82,0.0001,1
83,0.0001,0
84,0.9999,0
85,0.9999,1
86,0.0001,0
87,0.9999,0
88,0.9999,1
89,0.0001,0
90,0.9999,1
91,0.9999,0
92,0.0001,0
93,0.0001,1
94,0.0001,0
95,0.0001,1
96,0.8803313855311411,1
97,0.9999,0
98,0.0001,0
99,0.9999,0
100,0.0001,1
101,0.9999,0
102,0.0001,0
103,0.0001,1
104,0.9999,0
105,0.9999,1
