user_id,user_id_str
1234221894284521472,"""1234221894284521472"""
1243259632078008320,"""1243259632078008320"""
1278224187786768385,"""1278224187786768385"""
1228375672613212168,"""1228375672613212168"""
1155439957630214145,"""1155439957630214145"""
733039466,"""733039466"""
1222930336532832259,"""1222930336532832259"""
1234537240002547712,"""1234537240002547712"""
1615472515,"""1615472515"""
1260214919661674496,"""1260214919661674496"""
1220261793886588929,"""1220261793886588929"""
1259877230756298752,"""1259877230756298752"""
17522884,"""17522884"""
1267312785697972224,"""1267312785697972224"""
21489303,"""21489303"""
1246822931641978880,"""1246822931641978880"""
1260759124553486336,"""1260759124553486336"""
1190754511603863552,"""1190754511603863552"""
1134795093783719936,"""1134795093783719936"""
1151191558747648000,"""1151191558747648000"""
2316132577,"""2316132577"""
1127636543814938625,"""1127636543814938625"""
1012509065476493312,"""1012509065476493312"""
1049812740989218816,"""1049812740989218816"""
222901177,"""222901177"""
4339267715,"""4339267715"""
1237612707362242560,"""1237612707362242560"""
1233911723385593856,"""1233911723385593856"""
3241007092,"""3241007092"""
1224910743310622726,"""1224910743310622726"""
308466906,"""308466906"""
1212312554816462848,"""1212312554816462848"""
930065544073457665,"""930065544073457665"""
1208175050563686401,"""1208175050563686401"""
1228099520489279488,"""1228099520489279488"""
1210598908507906049,"""1210598908507906049"""
1226887249687666688,"""1226887249687666688"""
1225505831879401479,"""1225505831879401479"""
1211931988124262401,"""1211931988124262401"""
2391345684,"""2391345684"""
851840708382040064,"""851840708382040064"""
551496423,"""551496423"""
447200783,"""447200783"""
345397631,"""345397631"""
1345822466,"""1345822466"""
1217210080308781057,"""1217210080308781057"""
854627332333744128,"""854627332333744128"""
882324853193228288,"""882324853193228288"""
813912547472637952,"""813912547472637952"""
890180563285553152,"""890180563285553152"""
1168921668078776320,"""1168921668078776320"""
894465693755637760,"""894465693755637760"""
3317287716,"""3317287716"""
1023805133795278848,"""1023805133795278848"""
1179147676631392257,"""1179147676631392257"""
812331150551040000,"""812331150551040000"""
16017067,"""16017067"""
3508034232,"""3508034232"""
881925932398895104,"""881925932398895104"""
2235519929,"""2235519929"""
1208653043052494849,"""1208653043052494849"""
4563974475,"""4563974475"""
547969112,"""547969112"""
39753444,"""39753444"""
822871575636676609,"""822871575636676609"""
894057794,"""894057794"""
20846517,"""20846517"""
1207755011733819392,"""1207755011733819392"""
1206064472122634240,"""1206064472122634240"""
1205261325045260292,"""1205261325045260292"""
1202352889081012224,"""1202352889081012224"""
1200315378632663043,"""1200315378632663043"""
