trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,9.5362,4.8013,4.7349,14.2691,7.1883,7.0808,1.3660987893872392,3.9677,0.3583691813736216,-0.10000000000001588,44
pre,20.0,9.7688,4.9047,4.8641,49.1535,26.7835,22.37,5.307562985017492,4.9483,0.14627693484915374,-0.10000000000001588,44
post,20.0,10.292,5.1836,5.1084,15.2394,7.7713,7.4681,1.3469068929983856,4.0996,0.35088911812159446,-0.10000000000001588,53
pre,20.0,10.2948,5.2112,5.0836,78.1537,41.4783,36.6754,8.123746774798896,5.1521,0.09707529991219518,-0.10000000000001588,53
post,20.0,9.82,5.2687,4.5513,14.9813,8.1725,6.8088,1.3936242192045725,4.2715,0.3706742104282652,-0.10000000000001588,18
pre,20.0,9.8025,5.2526,4.5499,41.028,22.4119,18.6161,4.606958539480021,4.3478,0.16190068726498963,-0.10000000000001588,18
post,20.0,9.6103,4.7601,4.8502,13.7556,6.8973,6.8583,1.3041699181361293,3.766,0.358386130859193,-0.10000000000001588,91
pre,20.0,9.6558,4.7515,4.9043,32.906,15.2622,17.6438,3.3884306271851075,3.8916,0.19533315966196718,-0.10000000000001588,91
post,20.0,10.3295,5.0092,5.3203,15.4579,7.5002,7.9577,1.3717931351230284,4.2015,0.3571229563788361,-0.10000000000001588,97
pre,20.0,10.1534,4.9185,5.2349,52.2697,25.1584,27.1113,4.9493316337738325,3.5463,0.12369815631725435,-0.10000000000001588,97
post,20.0,10.1037,4.6651,5.4386,15.0097,6.7863,8.2234,1.3517220293824075,4.2187,0.36250882222340236,-0.10000000000001588,54
pre,20.0,10.0966,4.6498,5.4468,58.4339,25.9289,32.505,5.4326729627209795,6.7107,0.19446588763291897,-0.10000000000001588,54
post,20.0,10.3539,5.3463,5.0076,15.8922,8.7168,7.1754,1.4031376394975896,4.4444,0.35071879149509333,-0.10000000000001588,61
pre,20.0,10.3604,5.3695,4.9909,69.7042,34.6139,35.0903,7.775060269991205,2.6178,0.07054380196705899,-0.10000000000001588,61
post,20.0,9.5935,4.8631,4.7304,14.2922,7.2536,7.0386,1.3509440946597226,3.9586,0.3633044359061717,-0.10000000000001588,41
pre,20.0,9.607,4.8474,4.7596,42.0861,21.4542,20.6319,4.452523099165009,3.0113,0.12906872039473558,-0.10000000000001588,41
post,20.0,10.0537,4.8556,5.1981,14.7181,7.0687,7.6494,1.3274386787078916,3.9687,0.3455249953733904,-0.10000000000001588,47
pre,20.0,10.0861,4.8902,5.1959,65.6116,31.388,34.2236,7.986643862103228,3.4934,0.07504093344543761,-0.10000000000001588,47
post,20.0,9.9194,4.7663,5.1531,14.9959,7.3532,7.6427,1.3706762344245456,4.0641,0.3591993536283836,-0.10000000000001588,34
pre,20.0,9.9256,4.7746,5.151,62.8774,30.0703,32.8071,6.644640727684108,3.3754,0.08801866210116847,-0.10000000000001588,34
post,20.0,9.582,4.4583,5.1237,13.7152,6.2437,7.4715,1.314746853832761,3.8824,0.37523427381391367,-0.10000000000001588,27
pre,20.0,9.6167,4.4784,5.1383,37.1501,17.685,19.4651,3.577599339947668,2.8943,0.1929787575004749,-0.10000000000001588,27
post,20.0,9.8407,4.8241,5.0166,13.9852,6.767,7.2182,1.2986598245698244,3.8606,0.36986595606966965,-0.10000000000001588,49
pre,20.0,10.0312,4.9164,5.1148,31.4167,14.0143,17.4024,2.76473725170949,4.1451,0.22998765738581306,-0.10000000000001588,49
post,20.0,9.7703,4.9129,4.8574,14.0936,6.9373,7.1563,1.3363970178541855,3.8518,0.37138922387286616,-0.10000000000001588,56
pre,20.0,9.5771,4.8129,4.7642,29.7239,15.9554,13.7685,3.2921504517467253,3.4765,0.18101401896195535,-0.10000000000001588,56
post,20.0,9.3178,5.0556,4.2622,13.1271,7.4389,5.6882,1.2900520494767296,3.9013,0.3873515825241361,-0.10000000000001588,68
pre,20.0,9.449,5.1251,4.3239,34.9831,20.4104,14.5727,3.5412362541612774,6.3831,0.26038594801555726,-0.10000000000001588,68
post,20.0,10.3446,5.1427,5.2019,15.8534,7.696,8.1574,1.3849260211291952,4.2952,0.3622773150259701,-0.10000000000001588,78
pre,20.0,10.3731,5.1419,5.2312,64.178,32.005,32.173,5.72041029655142,3.3192,0.1490951177077279,-0.10000000000001588,78
post,20.0,10.655,5.6341,5.0209,16.0291,8.3796,7.6495,1.3668851204129508,4.3163,0.3428960925623291,-0.10000000000001588,88
pre,20.0,10.738,5.7188,5.0192,100.1296,53.4254,46.7042,10.261567288461155,6.9774,0.09431964235412639,-0.10000000000001588,88
post,20.0,10.0024,4.6153,5.3871,14.8381,6.3954,8.4427,1.3650822697408518,4.2969,0.3727976887922899,-0.10000000000001588,33
pre,20.0,9.9349,4.5514,5.3835,32.9407,14.8415,18.0992,2.8341284425963864,4.1573,0.21587029422519077,-0.10000000000001588,33
post,20.0,10.231,4.8562,5.3748,14.8047,6.6741,8.1306,1.3279579977820515,4.1505,0.3567076155325401,-0.10000000000001588,3
pre,20.0,10.1473,4.8791,5.2682,76.9089,35.0524,41.8565,8.352710490661607,6.9937,0.1500546002824728,-0.10000000000001588,3
post,20.0,10.1347,5.0021,5.1326,14.5542,6.8951,7.6591,1.3154529107952706,3.921,0.3693859493739623,-0.10000000000001588,40
pre,20.0,10.0447,4.9442,5.1005,46.9371,21.2058,25.7313,4.25210847191206,4.9065,0.21037705315593566,-0.10000000000001588,40
post,20.0,10.2345,5.0717,5.1628,15.6768,7.62,8.0568,1.391150175874547,4.2006,0.3531847135822252,-0.10000000000001588,64
pre,20.0,10.1249,5.0159,5.109,66.1897,31.6538,34.5359,6.466130016154306,3.9093,0.12117830387939704,-0.10000000000001588,64
post,20.0,9.7176,5.0108,4.7068,14.8346,7.545,7.2896,1.3910197449937935,4.1036,0.36530551112950727,-0.10000000000001588,81
pre,20.0,9.6554,4.9515,4.7039,37.8817,19.3878,18.4939,3.5701601770205516,2.8629,0.16367143058503034,-0.10000000000001588,81
post,20.0,9.9724,5.1358,4.8366,15.2884,8.1568,7.1316,1.376883555435743,4.1854,0.374173847209273,-0.10000000000001588,4
pre,20.0,10.0017,5.1423,4.8594,55.2263,29.7122,25.5141,5.822890606993095,4.9271,0.1581387871723678,-0.10000000000001588,4
post,20.0,9.5638,4.7027,4.8611,13.7633,6.5737,7.1896,1.3084578927018888,3.8063,0.3620962157485493,-0.10000000000001588,25
pre,20.0,9.5201,4.6896,4.8305,37.9862,18.0107,19.9755,3.7587778392872946,3.3354,0.16616337419044597,-0.10000000000001588,25
post,20.0,9.8758,4.7314,5.1444,14.2776,6.7871,7.4905,1.3199682324301005,3.8534,0.3577115217320618,-0.10000000000001588,63
pre,20.0,9.834,4.7222,5.1118,41.0648,19.0127,22.0521,3.9893190179439637,3.8658,0.16252212648276618,-0.10000000000001588,63
post,20.0,10.6351,5.7797,4.8554,16.4072,9.0044,7.4028,1.3859151571548263,4.601,0.36286843797453694,-0.10000000000001588,28
pre,20.0,10.5269,5.695,4.8319,80.4645,43.8172,36.6473,8.855125670622485,7.2355,0.10355870696981008,-0.10000000000001588,28
post,20.0,10.3278,5.1075,5.2203,14.8245,7.0606,7.7639,1.308548676593143,3.9677,0.34182893030582684,-0.10000000000001588,59
pre,20.0,10.3661,5.1026,5.2635,73.7851,35.7705,38.0146,7.603807260240509,3.3505,0.0944831012829739,-0.10000000000001588,59
post,20.0,9.5881,4.7726,4.8155,13.5211,6.617,6.9041,1.2964149998026846,3.6795,0.36553934593687626,-0.10000000000001588,77
pre,20.0,9.6689,4.8593,4.8096,48.7896,24.3939,24.3957,4.914769417589726,3.435,0.14502439346839496,-0.10000000000001588,77
post,20.0,9.1243,4.5474,4.5769,12.9591,6.4682,6.4909,1.3058171954640605,3.5753,0.3717294591551576,-0.10000000000001588,30
pre,20.0,9.0765,4.5111,4.5654,33.68,16.6793,17.0007,4.008568173040542,2.7494,0.13707203129808815,-0.10000000000001588,30
post,20.0,10.9632,5.4121,5.5511,17.3317,8.2545,9.0772,1.432537761184508,4.6803,0.3517295535572564,-0.10000000000001588,74
pre,20.0,10.823,5.3711,5.4519,118.4442,59.776,58.6682,11.926884342594738,2.964,0.06129549496085437,-0.10000000000001588,74
post,20.0,10.2916,5.482,4.8096,15.577,8.4402,7.1368,1.3703825211079388,4.3276,0.35806262725648674,-0.10000000000001588,80
pre,20.0,10.2624,5.4621,4.8003,59.5986,31.6843,27.9143,7.582500694280916,4.1438,0.08680064299285323,-0.10000000000001588,80
post,20.0,10.0693,5.3531,4.7162,14.7371,7.8476,6.8895,1.3376060804353052,4.0413,0.35870924543452176,-0.10000000000001588,62
pre,20.0,10.0684,5.3485,4.7199,77.3789,42.8614,34.5175,7.624311853185257,8.3685,0.1664933761137644,-0.10000000000001588,62
post,20.0,10.355,5.1118,5.2432,14.7281,6.9668,7.7613,1.296766562345924,3.9517,0.34678395363099834,-0.10000000000001588,1
pre,20.0,10.4324,5.1614,5.271,66.0412,30.5483,35.4929,6.643425882201508,5.2694,0.11862288158046956,-0.10000000000001588,1
post,20.0,10.2345,4.9952,5.2393,15.4729,7.5546,7.9183,1.3791262045254182,4.1867,0.3599267320139499,-0.10000000000001588,75
pre,20.0,10.3319,5.0454,5.2865,62.2823,30.5557,31.7266,5.056741551270899,2.5189,0.10532028657826555,-0.10000000000001588,75
post,20.0,9.6511,4.8013,4.8498,13.6215,6.6598,6.9617,1.2839178138171445,3.6737,0.36452326636641347,-0.10000000000001588,51
pre,20.0,9.5123,4.7466,4.7657,34.5662,15.6139,18.9523,3.581919334785804,4.0696,0.19590142719048056,-0.10000000000001588,51
post,20.0,10.0841,4.7287,5.3554,14.3698,6.5879,7.7819,1.3016588239174656,3.935,0.35057169021487666,-0.10000000000001588,57
pre,20.0,10.0793,4.7515,5.3278,56.8704,24.9157,31.9547,5.404469973610133,7.2508,0.17860714570005565,-0.10000000000001588,57
