trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,9.6937,4.8715,4.8222,14.4792,7.3606,7.1186,1.4879534150309663,9.1868,0.6124216481068813,-0.10000000000001588,44
pre,20.0,9.684,4.8841,4.7999,52.8459,29.4119,23.434,5.588684025516966,7.7541,0.15796093148215162,-0.10000000000001588,44
post,20.0,10.3483,5.1737,5.1746,15.2419,7.6927,7.5492,1.4695940699711474,9.2859,0.5855802147208682,-0.10000000000001588,53
pre,20.0,10.3586,5.1987,5.1599,86.9774,46.1854,40.792,8.7201480666586,6.8432,0.08130819606773165,-0.10000000000001588,53
post,20.0,9.7271,5.1949,4.5322,14.6938,7.9941,6.6997,1.5046251894295972,9.1528,0.6080463725012726,-0.10000000000001588,18
pre,20.0,9.8061,5.2385,4.5676,42.9012,23.5528,19.3484,4.517819040944514,6.1682,0.15080183392149146,-0.10000000000001588,18
post,20.0,9.5624,4.7205,4.8419,13.6051,6.8043,6.8008,1.4130954123422226,8.6569,0.6108147695840491,-0.10000000000001588,91
pre,20.0,9.5782,4.7607,4.8175,32.57,14.8202,17.7498,3.4351607068864145,6.3906,0.2090486150120945,-0.10000000000001588,91
post,20.0,10.2935,5.0207,5.2728,15.2235,7.4288,7.7947,1.476116922062788,9.3161,0.5976240037403892,-0.10000000000001588,97
pre,20.0,10.2402,5.0169,5.2233,52.9817,25.1437,27.838,5.208095632399502,6.1563,0.12897041697399475,-0.10000000000001588,97
post,20.0,10.0667,4.6819,5.3848,14.7885,6.7519,8.0366,1.463958327686683,9.4373,0.6137290019057335,-0.10000000000001588,54
pre,20.0,10.0912,4.6587,5.4325,59.8449,25.6754,34.1695,5.907136967068895,8.9711,0.1788465941559424,-0.10000000000001588,54
post,20.0,10.348,5.3804,4.9676,15.7936,8.6704,7.1232,1.5242977703518652,9.4982,0.5838832496566188,-0.10000000000001588,61
pre,20.0,10.3287,5.3537,4.975,74.5253,36.9305,37.5948,7.535056555166139,4.9915,0.06976523593207182,-0.10000000000001588,61
post,20.0,9.5995,4.8405,4.759,14.1379,7.1585,6.9794,1.4648122480108527,9.1323,0.611942649358372,-0.10000000000001588,41
pre,20.0,9.5896,4.8443,4.7453,43.675,22.4178,21.2572,4.612331725562003,5.1992,0.13312041081871315,-0.10000000000001588,41
post,20.0,10.0679,4.8551,5.2128,14.7428,7.0381,7.7047,1.4563823144610026,9.3506,0.6037583576782687,-0.10000000000001588,47
pre,20.0,10.0617,4.8221,5.2396,66.3465,31.4042,34.9423,6.908928365083468,5.3527,0.08262248420955635,-0.10000000000001588,47
post,20.0,10.0309,4.838,5.1929,15.1417,7.4412,7.7005,1.505528951032636,9.5263,0.6065073171312624,-0.10000000000001588,34
pre,20.0,10.0188,4.8075,5.2113,69.3155,33.232,36.0835,7.178714435532657,5.4039,0.08392857470422709,-0.10000000000001588,34
post,20.0,9.658,4.5172,5.1408,13.6927,6.2961,7.3966,1.4098128317597474,8.6161,0.6124179501669802,-0.10000000000001588,27
pre,20.0,9.6417,4.5139,5.1278,38.7178,18.4713,20.2465,4.026027827385031,5.0022,0.15554239555587945,-0.10000000000001588,27
post,20.0,9.942,4.8844,5.0576,14.0372,6.8177,7.2195,1.4064098908938645,8.9248,0.6130357926999596,-0.10000000000001588,49
pre,20.0,9.9996,4.9175,5.0821,27.6505,11.9199,15.7306,2.7070331943134343,5.8599,0.236618715268922,-0.10000000000001588,49
post,20.0,9.6114,4.8627,4.7487,13.7338,6.832,6.9018,1.4240852845065355,8.8158,0.6348745770095938,-0.10000000000001588,56
pre,20.0,9.5991,4.8633,4.7358,28.6476,15.7837,12.8639,3.022604464077385,6.4732,0.24274848872704052,-0.10000000000001588,56
post,20.0,9.3102,5.0716,4.2386,13.0856,7.4683,5.6173,1.3985029308644847,8.6032,0.6284121412043103,-0.10000000000001588,68
pre,20.0,9.319,5.1537,4.1653,33.461,20.1105,13.3505,3.600675124508707,8.1914,0.260036807188615,-0.10000000000001588,68
post,20.0,10.3633,5.1567,5.2066,15.7673,7.7018,8.0655,1.5170482074074958,10.0447,0.6131710746638107,-0.10000000000001588,78
