samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,10.7203,6.2111,4.5092,58.6995,33.7694,24.9301,9.0859,0.18824302960129294,1.0,49.0
20.0,9.4397,5.1269,4.3128,42.4587,22.8953,19.5634,4.3673,0.12411580827537018,1.0,50.0
20.0,10.7678,5.8788,4.889,57.0588,30.9107,26.1481,6.4304,0.15104296695752006,1.0,51.0
20.0,10.8122,5.5306,5.2816,59.236,30.1466,29.0894,3.4782,0.09998720500172746,1.0,52.0
20.0,10.4313,5.1938,5.2375,47.506,23.478,24.028,2.5906,0.08648077445192973,1.0,53.0
20.0,10.9015,5.9432,4.9583,64.239,35.3151,28.9239,7.0292,0.15566150779792573,1.0,54.0
20.0,10.6694,5.1086,5.5608,52.4865,24.7895,27.697,3.5197,0.14204452489074199,1.0,55.0
20.0,9.8186,5.5378,4.2808,33.6394,17.8616,15.7778,3.2884,0.14161911008669295,1.0,56.0
20.0,10.4901,5.0493,5.4408,50.8767,25.2739,25.6028,3.2721,0.09470974316393042,1.0,57.0
20.0,9.1507,3.9305,5.2202,17.7393,8.4267,9.3126,2.7145,0.2135699203316196,1.0,58.0
20.0,10.3341,5.2667,5.0674,46.8348,25.5349,21.2999,4.496,0.14599864114258618,1.0,59.0
20.0,9.9783,4.713,5.2653,44.8805,20.6478,24.2327,4.5375,0.1799745515666549,1.0,60.0
20.0,10.1196,4.8752,5.2444,52.0512,25.5061,26.5451,3.1708,0.12262974969081655,1.0,61.0
20.0,10.6273,5.0798,5.5475,62.0572,30.2044,31.8528,4.7674,0.11182830898534789,1.0,62.0
20.0,9.4287,5.0425,4.3862,25.9843,13.9185,12.0658,2.8543,0.1548960575354438,1.0,63.0
20.0,9.3512,4.5708,4.7804,24.379,12.4568,11.9222,2.3978,0.17303061455900268,1.0,64.0
20.0,10.0467,4.8927,5.154,33.8641,16.3778,17.4863,2.7259,0.15270622340386122,1.0,65.0
20.0,10.0611,4.2393,5.8218,38.3284,14.4961,23.8323,9.346,0.3430591882569607,1.0,66.0
20.0,8.6204,3.9304,4.69,21.8106,10.6734,11.1372,2.3478,0.15690300295559384,1.0,67.0
20.0,9.8632,5.1655,4.6977,34.2966,16.2986,17.998,3.8968,0.2334937170966437,1.0,68.0
20.0,10.3731,4.8016,5.5715,51.7325,25.9539,25.7786,4.7827,0.13960223127344723,1.0,69.0
20.0,9.3248,4.6014,4.7234,26.5165,14.5475,11.969,3.1715,0.17666418656898641,1.0,70.0
20.0,9.9434,5.0723,4.8711,41.3797,20.5304,20.8493,2.8759,0.11427861436816251,1.0,71.0
20.0,9.9086,5.3156,4.593,40.7127,23.5451,17.1676,6.4487,0.23499195333197775,1.0,72.0
20.0,10.496,5.6092,4.8868,46.2099,24.3517,21.8582,3.9147,0.13062760056373643,1.0,73.0
20.0,9.8866,4.4083,5.4783,34.1593,15.2897,18.8696,4.0691,0.17133191665800993,1.0,74.0
20.0,9.0074,4.5025,4.5049,20.5662,10.3177,10.2485,2.8712,0.20387829382127742,1.0,75.0
20.0,9.1434,4.8158,4.3276,21.6876,11.9724,9.7152,2.9442,0.21043230274533156,1.0,76.0
20.0,10.3373,5.9305,4.4068,49.9891,27.4928,22.4963,5.7267,0.12376688722214656,1.0,77.0
20.0,9.316,4.3101,5.0059,21.3992,11.3143,10.0849,2.8212,0.2181024938473719,1.0,78.0
20.0,10.6668,4.921,5.7458,57.8184,26.9062,30.9122,4.9288,0.12839294903415094,1.0,79.0
20.0,11.2565,6.8672,4.3893,70.4003,44.0035,26.3968,17.6067,0.3165701928375755,1.0,80.0
20.0,9.7281,4.8846,4.8435,33.6333,15.9327,17.7006,2.8477,0.12421259676617652,1.0,81.0
20.0,10.1156,5.0152,5.1004,36.7615,18.2894,18.4721,2.7101,0.12172095293702358,1.0,82.0
20.0,10.2701,5.1727,5.0974,50.1734,25.4605,24.7129,2.6114,0.09781548857539289,1.0,83.0
20.0,10.9742,5.2087,5.7655,64.0451,30.8937,33.1514,3.3731,0.07804545761071692,1.0,84.0
20.0,10.457,4.9161,5.5409,51.6707,23.4799,28.1908,5.2369,0.1436223131747095,1.0,85.0
20.0,9.5414,4.9036,4.6378,21.0511,9.6656,11.3855,2.8815,0.21259912863796618,1.0,86.0
20.0,10.144,4.223,5.921,43.2644,16.5981,26.6663,10.1218,0.32547497131702047,1.0,87.0
20.0,9.6899,4.7817,4.9082,33.773,17.5922,16.1808,2.938,0.1510036842591799,1.0,88.0
20.0,10.4763,5.7173,4.759,49.6897,28.5517,21.138,7.4799,0.2396694913251586,1.0,89.0
20.0,10.3037,4.897,5.4067,33.3933,15.2215,18.1718,3.5177,0.18881255632348817,1.0,90.0
20.0,10.1249,6.2408,3.8841,39.0873,23.8054,15.2819,8.6415,0.2568610297930796,1.0,91.0
20.0,9.0264,3.6467,5.3797,30.7732,11.6016,19.1716,7.59,0.27647463934804106,1.0,92.0
20.0,10.3229,4.919,5.4039,51.3253,25.3248,26.0005,3.7791,0.12206944047187508,1.0,93.0
20.0,9.2798,4.7843,4.4955,21.7368,11.0554,10.6814,2.3792,0.15895382184208695,1.0,94.0
20.0,8.7117,4.3008,4.4109,18.099,8.7949,9.3041,2.2748,0.18782664409409114,1.0,95.0
20.0,9.2858,4.8013,4.4845,20.9339,11.2358,9.6981,2.8299,0.1703592988377286,1.0,96.0
20.0,9.7963,5.0634,4.7329,34.764,17.4072,17.3568,2.5668,0.10390454869350838,1.0,97.0
20.0,10.0643,4.2118,5.8525,40.5619,16.1931,24.3688,8.3897,0.24241843110154043,1.0,98.0
20.0,8.96,3.2518,5.7082,26.8369,10.0543,16.7826,6.9051,0.2777164086233755,1.0,99.0
20.0,9.7839,4.6282,5.1557,19.5589,8.964,10.5949,4.2067,0.23922653962140614,0.30000000000003585,0.0
20.0,9.9087,4.6565,5.2522,27.0042,12.8347,14.1695,4.6324,0.18231705468947568,0.30000000000003585,1.0
20.0,10.2837,5.6984,4.5853,25.4142,15.8228,9.5914,7.132,0.3134068900607352,0.30000000000003585,2.0
20.0,9.4289,5.0636,4.3653,20.6721,12.7508,7.9213,5.9273,0.29314642241698613,0.30000000000003585,3.0
20.0,10.4653,5.9192,4.5461,25.69,14.0056,11.6844,5.1258,0.21452772298591763,0.30000000000003585,4.0
20.0,9.3359,4.5764,4.7595,18.4664,8.5081,9.9583,4.2348,0.2798232854849093,0.30000000000003585,5.0
20.0,9.7912,5.5852,4.206,17.5508,10.4709,7.0799,4.9638,0.33148734432570387,0.30000000000003585,6.0
20.0,10.5605,3.976,6.5845,25.9448,7.8457,18.0991,10.4808,0.38853113345557394,0.30000000000003585,7.0
20.0,10.188,3.9969,6.1911,19.3256,7.7017,11.6239,5.4412,0.2987735463109923,0.30000000000003585,8.0
20.0,8.7686,4.2582,4.5104,16.6236,8.179,8.4446,4.0274,0.28029726645523395,0.30000000000003585,9.0
20.0,10.0253,4.5013,5.524,21.9222,9.3876,12.5346,5.1218,0.25783331661180453,0.30000000000003585,10.0
20.0,9.1324,4.3362,4.7962,18.6399,8.8933,9.7466,4.1183,0.2534054559053117,0.30000000000003585,11.0
20.0,9.5439,5.1016,4.4423,14.615,8.4743,6.1407,4.31,0.35455358577037555,0.30000000000003585,12.0
20.0,10.1387,5.5354,4.6033,19.4173,10.324,9.0933,4.5589,0.27977253422376164,0.30000000000003585,13.0
20.0,10.8951,4.7633,6.1318,35.4691,12.7418,22.7273,10.2981,0.3305866759046539,0.30000000000003585,14.0
20.0,10.342,5.8328,4.5092,29.9155,17.5922,12.3233,6.7617,0.2538526034760354,0.30000000000003585,15.0
20.0,10.1995,5.2352,4.9643,22.531,12.7514,9.7796,5.045,0.2852486261536797,0.30000000000003585,16.0
20.0,10.0061,4.8201,5.186,24.9907,11.4338,13.5569,4.7347,0.2288872294998996,0.30000000000003585,17.0
20.0,9.5195,4.2003,5.3192,22.948,9.5336,13.4144,5.3394,0.2643914217110314,0.30000000000003585,18.0
20.0,11.2109,5.5644,5.6465,28.3014,14.0147,14.2867,4.919,0.24268099777371066,0.30000000000003585,19.0
20.0,9.764,4.952,4.812,18.0111,11.5077,6.5034,5.9697,0.3765017869826318,0.30000000000003585,20.0
20.0,9.5372,4.3819,5.1553,21.9425,11.4786,10.4639,3.8557,0.18740716205209745,0.30000000000003585,21.0
20.0,9.5837,4.9331,4.6506,22.0658,12.129,9.9368,4.1772,0.20593769039910895,0.30000000000003585,22.0
20.0,10.6097,5.4724,5.1373,26.031,13.1224,12.9086,4.3204,0.1986764091666569,0.30000000000003585,23.0
