samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,9.9937,4.569,5.4247,19.6705,8.9308,10.7397,1.9395001996302321,6.4833,0.36015913306407576,-0.20000000000003176,39.0
20.0,9.9191,5.2522,4.6669,20.3277,11.4986,8.8291,2.0530013640323617,5.9689,0.3120826288225269,-0.20000000000003176,40.0
20.0,9.7839,4.9405,4.8434,21.8926,10.1428,11.7498,2.2898718822857638,5.656,0.2715291133386692,-0.20000000000003176,41.0
20.0,9.7793,4.5306,5.2487,18.0281,8.2023,9.8258,1.8289311914827384,5.5557,0.32296088655693334,-0.20000000000003176,42.0
20.0,10.1579,5.499,4.6589,20.3024,10.2363,10.0661,2.023984914761301,5.8522,0.30525240404238635,-0.20000000000003176,43.0
20.0,10.536,4.3281,6.2079,20.4546,7.7983,12.6563,1.9391955566491876,7.056,0.36651617024927835,-0.20000000000003176,44.0
20.0,9.7682,4.6591,5.1091,22.2736,11.2161,11.0575,2.2969032089659684,5.4802,0.2568895246950832,-0.20000000000003176,45.0
20.0,10.4058,4.6036,5.8022,24.2916,10.1803,14.1113,2.36207390911299,6.322,0.26887746745079316,-0.20000000000003176,46.0
20.0,10.0033,5.0433,4.96,22.0218,12.8535,9.1683,2.2324938323335304,5.8348,0.2872416179196961,-0.20000000000003176,47.0
20.0,10.2298,4.6013,5.6285,21.0363,9.3841,11.6522,2.0220741301319802,6.2727,0.3122416206829426,-0.20000000000003176,48.0
20.0,10.0709,5.0678,5.0031,22.5824,14.9042,7.6782,2.3017128481008537,8.433,0.38998262669859945,-0.20000000000003176,49.0
20.0,10.3009,4.7544,5.5465,23.6867,11.3983,12.2884,2.3143613808869583,6.3695,0.28297839219911797,-0.20000000000003176,50.0
20.0,9.5896,5.2583,4.3313,17.8972,9.8459,8.0513,1.8711284893713893,5.6442,0.3219095140445121,-0.20000000000003176,51.0
20.0,9.3191,5.2512,4.0679,21.8183,13.1207,8.6976,2.413341460212374,6.3445,0.2844602119110407,-0.20000000000003176,52.0
20.0,10.0663,5.2148,4.8515,22.6431,9.5381,13.105,2.3244970968341834,6.2943,0.28856778410138784,-0.20000000000003176,53.0
20.0,10.7341,5.3953,5.3388,25.2333,12.513,12.7203,2.374627446380235,6.1693,0.25362725333506,-0.20000000000003176,54.0
20.0,9.8523,4.4642,5.3881,24.8947,10.7038,14.1909,2.604251492058304,6.0263,0.23801369234762362,-0.20000000000003176,55.0
20.0,10.7954,5.3344,5.461,28.3889,13.7129,14.676,2.6434047509217193,6.4803,0.2322459177544543,-0.20000000000003176,56.0
20.0,10.3979,5.229,5.1689,23.6103,12.5899,11.0204,2.252438256927144,6.3945,0.283613904962917,-0.20000000000003176,57.0
20.0,10.0789,5.5011,4.5778,19.0049,11.4766,7.5283,1.8646431876559837,6.2369,0.3442454104563733,-0.20000000000003176,58.0
20.0,10.2061,4.9899,5.2162,29.0148,13.702,15.3128,2.9431131002438167,6.1042,0.20916902503630067,-0.20000000000003176,59.0
20.0,9.5203,4.1611,5.3592,16.4135,6.8534,9.5601,1.7227990607021832,5.1455,0.33311269963734047,-0.20000000000003176,60.0
20.0,9.3526,4.6669,4.6857,17.9927,9.4908,8.5019,1.9354473932852405,5.1061,0.3004817100648299,-0.20000000000003176,61.0
20.0,9.7023,5.575,4.1273,20.8711,13.5343,7.3368,2.1512934395000363,7.5179,0.36609383683699737,-0.20000000000003176,62.0
20.0,10.2356,5.8124,4.4232,23.7676,13.0587,10.7089,2.3597255352336015,5.654,0.2383829541028927,-0.20000000000003176,63.0
20.0,9.6856,4.7175,4.9681,18.9024,8.7022,10.2002,1.9934591412917435,5.168,0.2811872242718919,-0.20000000000003176,64.0
20.0,9.9367,4.9679,4.9688,16.5287,8.1588,8.3699,1.632548024494664,5.3653,0.3520554946677265,-0.20000000000003176,65.0
20.0,9.6425,4.3277,5.3148,20.8899,9.8478,11.0421,2.1878703788887366,5.3459,0.2656651451326875,-0.20000000000003176,66.0
20.0,9.7734,4.7558,5.0176,20.2422,7.8285,12.4137,2.0703586086584496,6.5266,0.34106605127202766,-0.20000000000003176,67.0
20.0,9.3113,4.3643,4.947,16.785,7.8718,8.9132,1.7864589982417658,5.3666,0.3395977781270514,-0.20000000000003176,68.0
20.0,9.9794,4.9772,5.0022,23.0712,13.2659,9.8053,2.3205737977455727,6.83,0.308232209317731,-0.20000000000003176,69.0
20.0,10.2184,4.6517,5.5667,28.2955,12.8246,15.4709,2.9206282390236784,5.8615,0.20882367209384797,-0.20000000000003176,70.0
20.0,10.1425,4.7426,5.3999,20.6683,8.692,11.9763,2.056539698296714,5.8899,0.3068204849961016,-0.20000000000003176,71.0
20.0,11.0001,5.4581,5.542,26.8972,14.8189,12.0783,2.4417424144932047,6.3292,0.24630324696436445,-0.20000000000003176,72.0
20.0,10.0542,5.2656,4.7886,26.1386,13.7687,12.3699,2.6181359919148566,5.9708,0.2475680601802031,-0.20000000000003176,73.0
20.0,9.9343,4.8149,5.1194,24.5985,12.957,11.6415,2.563096703521617,5.2527,0.2172947194032701,-0.20000000000003176,74.0
20.0,9.6309,4.9782,4.6527,16.6657,7.3673,9.2984,1.6950960533601713,5.7209,0.3730800938027771,-0.20000000000003176,75.0
20.0,9.0518,3.4565,5.5953,18.8256,7.221,11.6046,2.119372877528723,5.9984,0.31957404762936203,-0.20000000000003176,76.0
20.0,9.6671,4.7288,4.9383,20.1669,10.3634,9.8035,2.095725357966885,5.5881,0.2891557524243274,-0.20000000000003176,77.0
20.0,10.0948,5.1144,4.9804,20.6573,10.1297,10.5276,2.0662763192642912,5.1093,0.2622090496267577,-0.20000000000003176,78.0
20.0,9.8177,4.3465,5.4712,19.4863,8.5908,10.8955,1.999823493954059,5.5493,0.3069494163248463,-0.20000000000003176,79.0
20.0,9.9221,4.8167,5.1054,20.0435,9.5755,10.468,2.011864827397869,5.6727,0.29388260715349457,-0.20000000000003176,80.0
20.0,10.2243,5.2249,4.9994,17.9555,9.0784,8.8771,1.7211719085146584,5.9065,0.3480150511854299,-0.20000000000003176,81.0
20.0,9.8483,5.1008,4.7475,23.579,12.7184,10.8606,2.5050870158688845,5.5506,0.2376542410786081,-0.20000000000003176,82.0
20.0,9.6078,4.8931,4.7147,21.1472,7.8388,13.3084,2.2521994139371193,6.3074,0.3235981888854152,-0.20000000000003176,83.0
20.0,10.2282,5.4751,4.7531,20.5314,13.0522,7.4792,2.001298305755488,7.2718,0.39119379140164334,-0.20000000000003176,84.0
20.0,9.2966,4.9945,4.3021,19.5388,11.2176,8.3212,2.1290471782340914,5.487,0.29239401630307577,-0.20000000000003176,85.0
20.0,9.6908,4.5904,5.1004,19.538,8.2979,11.2401,2.0104765692310447,5.5366,0.30386506988326883,-0.20000000000003176,86.0
20.0,9.8972,4.1763,5.7209,25.4537,8.5497,16.904,2.6546478107275027,8.9585,0.3575679925611326,-0.20000000000003176,87.0
20.0,9.5646,4.9057,4.6589,22.1178,12.6047,9.5131,2.3851636215119254,6.1516,0.28667858339137914,-0.20000000000003176,88.0
20.0,9.6794,4.4843,5.1951,21.1875,10.7101,10.4774,2.229419747952576,5.5085,0.2625673424357065,-0.20000000000003176,89.0
20.0,10.6541,5.2934,5.3607,28.9524,15.2384,13.714,2.765540332298005,5.571,0.19894321766257317,-0.20000000000003176,90.0
20.0,9.7373,5.0877,4.6496,20.8664,10.7099,10.1565,2.1619222156229134,5.5458,0.2755994550293797,-0.20000000000003176,91.0
20.0,9.9023,4.3742,5.5281,23.0765,10.2312,12.8453,2.367793726853801,6.0259,0.26089024001841293,-0.20000000000003176,92.0
20.0,10.6387,5.8373,4.8014,29.3295,17.0297,12.2998,2.783062123642954,7.2321,0.2499410988463607,-0.20000000000003176,93.0
20.0,9.5596,4.2669,5.2927,17.3193,8.6415,8.6778,1.819334934325212,4.8855,0.30612660918876916,-0.20000000000003176,94.0
20.0,10.4856,4.6483,5.8373,23.3589,10.2298,13.1291,2.219428787154198,6.5637,0.2898893571264036,-0.20000000000003176,95.0
20.0,9.7257,4.5186,5.2071,19.5344,8.5407,10.9937,2.0187434683431986,5.6372,0.2989602432520721,-0.20000000000003176,96.0
20.0,10.1056,5.4075,4.6981,21.3771,10.1772,11.1999,2.1248886158121225,5.5165,0.27576737348038244,-0.20000000000003176,97.0
20.0,10.0065,3.9006,6.1059,25.3194,9.0972,16.2222,2.5862421880852735,8.1046,0.3103963116239885,-0.20000000000003176,98.0
20.0,10.3196,4.7984,5.5212,26.043,11.0603,14.9827,2.5375780391331713,6.729,0.2697992387813985,-0.20000000000003176,99.0
20.0,10.0732,5.7122,4.361,21.2256,13.7967,7.4289,2.1051898425532793,8.1956,0.39308642719533554,-0.4000000000000635,0.0
20.0,9.7726,3.9222,5.8504,20.2017,6.6858,13.5159,2.085737646160719,8.3311,0.41231611284391106,-0.4000000000000635,1.0
20.0,10.5737,5.2445,5.3292,27.1481,14.0769,13.0712,2.6399655233060217,6.4299,0.2405048886844234,-0.4000000000000635,2.0
20.0,9.7425,4.0278,5.7147,20.662,9.6387,11.0233,2.141119018518721,6.0456,0.2912794620631065,-0.4000000000000635,3.0
20.0,10.2417,3.803,6.4387,25.7811,7.953,17.8281,2.4785171793793435,11.3449,0.40011593299569764,-0.4000000000000635,4.0
20.0,9.0804,4.6864,4.394,15.1875,6.5468,8.6407,1.6902427977490448,5.3471,0.3716961091870012,-0.4000000000000635,5.0
