Gamma,Assortativity
1.0,0.01182961336412254
1.0,0.014739876045830215
1.0,0.0005538292247316703
1.0,-0.007509958306796353
1.0,0.003197577804532551
1.0,0.000681910601014767
1.0,0.01653905550746785
1.0,-0.029214684433830025
1.0,-0.027630216947250832
1.0,-0.018390606753785566
1.0,-0.037014966846589815
1.0,-0.036327952845069345
1.0,-0.027965450515059987
1.0,0.012085836758242513
1.0,-0.014590912564558111
1.0,0.04221672462917044
1.0,-0.015453372019384876
1.0,0.01615280219081878
1.0,-0.09059216394022343
1.0,-0.016145629716965572
1.0,0.027636417792820778
1.0,-0.050276959096708394
1.0,-0.029593226451244646
1.0,0.01942674001758394
1.0,0.04838789100259643
1.0,0.029131401482791835
1.0,-0.014115245151866546
1.0,-0.023880238761782146
1.0,-0.003369985827242752
1.0,-0.04433135963781106
1.0,0.025378982482426232
1.0,0.045217835125127295
1.0,0.00010202049574088285
1.0,0.012659728365608957
1.0,-0.01462698957748574
1.0,-0.016642235807288235
1.0,0.014175036546320366
1.0,0.014365934585684548
1.0,-0.005973937583260188
1.0,-0.0343904444506753
1.0,0.021647051708161183
1.0,-0.062397413279849524
1.0,-0.0036098050815777712
1.0,-0.012033277268074133
1.0,0.032075829734401685
1.0,-0.005640168087117346
1.0,0.01873890636817216
1.0,0.022739372817556294
1.0,0.004364493639818465
1.0,0.0005974917180389481
1.0,0.013888670629580602
1.0,-0.027525073531409053
1.0,0.01588225466006553
1.0,-0.040629750843164884
1.0,-0.051955916974965016
1.0,-0.006682562614838555
1.0,0.013924905181700751
1.0,0.01330844721459629
1.0,0.0007414764981395959
1.0,0.014581194291155175
1.0,0.01316008972140576
1.0,-0.008561698195944451
1.0,0.01689376980901496
1.0,0.0033317651298292263
1.0,0.00408521476184188
1.0,-0.0029971867396360163
1.0,0.008957499523537284
1.0,-0.01994672985556007
1.0,-0.006471609602598702
1.0,0.0016304639706840823
1.0,0.0034232311375320197
1.0,-0.0016578499234672893
1.0,0.009917270631514877
1.0,-0.015166472825279142
1.0,0.009793363814066775
1.0,-0.0627672353062999
1.0,-0.026683890720885218
1.0,-0.0416763889177772
1.0,-0.01412848227302716
1.0,-0.06205387368033376
1.0,0.017992963379772096
1.0,0.014817037302992157
1.0,0.01101945567227815
1.0,0.03142591549464281
1.0,-0.004889283214379783
1.0,-0.023712667360927836
1.0,0.01880605758611831
1.0,-0.0303500602303182
1.0,1.8858300653933307e-05
1.0,-0.03310744634976109
1.0,-0.014317441726404558
1.0,-0.02167476623443979
1.0,-0.02243337373992958
1.0,0.010659646254256989
1.0,0.003240674413962973
1.0,0.030722119752709016
1.0,-0.042066457302565904
1.0,0.00929154520975649
1.0,0.029412316999846113
1.0,-0.012209650782748912
0.3,0.10209317389254537
0.3,0.0688173193571891
0.3,0.11237013867363041
0.3,0.14913212805333703
0.3,0.06203103245161533
0.3,0.12209928134360305
0.3,0.08598457611984331
0.3,0.13671781829179597
0.3,0.04806639319970909
0.3,0.08975877054646424
0.3,0.053282085261441306
0.3,0.07261250430677757
0.3,0.09149502359256992
0.3,0.09152090925230703
0.3,0.1214381135390799
0.3,0.053947399170869124
0.3,0.12409686610692547
0.3,0.09222732081895926
0.3,0.06475462345480307
0.3,0.2569165072400729
0.3,0.10714329258986047
0.3,0.028486589485376277
0.3,0.07103529688555087
0.3,0.08672105083801235
0.3,0.09804671622432376
0.3,0.11272078098591241
0.3,0.11189035634297018
0.3,0.13086931078860267
0.3,0.11811416613377475
0.3,0.07130857991568401
0.3,0.09667533242333766
0.3,0.021942122636926457
0.3,0.10396510260479816
0.3,0.08509672898616302
0.3,0.08708106811037088
0.3,0.08461667231265549
0.3,0.09121120651234053
0.3,0.06132294693796057
0.3,0.08592701931914791
0.3,0.08223909926786933
0.3,0.08198461178440791
0.3,0.07241177368045366
0.3,0.055243631159783535
0.3,0.019995692143843825
0.3,0.06641666762026457
0.3,0.07285379804542638
0.3,0.08273020926643725
0.3,0.1177840298825138
0.3,0.084109739272724
0.3,0.024004843165108994
0.3,0.11167883670333906
0.3,0.07099575811531349
0.3,0.08575219815457505
0.3,0.05393851523350361
0.3,0.028935071354402795
0.3,0.0826871445675787
0.3,0.08493128765777028
0.3,0.09665466762971646
0.3,0.03424029130575888
0.3,0.10362313714125301
0.3,0.10173275287761194
0.3,0.09243797679122684
0.3,0.10690916966600558
0.3,0.11378022273479745
0.3,0.09902172279121549
0.3,0.05217870623374662
0.3,0.08676272596977125
