true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
1047.57,3691.94,5259.395,1.095,0.175676917708259,0.0003510811320269346,1.0,2.0
1047.57,3691.94,5259.395,1.095,0.175676917708259,0.0003510811320269346,1.0,2.0
949.575,3691.425,5356.255,2.745,0.15816676950574665,0.0002900596309537299,1.0,3.0
949.575,3691.425,5356.255,2.745,0.15816676950574665,0.0002900596309537299,1.0,3.0
1214.595,3649.545,5131.89,3.97,0.18439339194932605,0.0013860739691645954,1.0,4.0
1214.595,3649.545,5131.89,3.97,0.18439339194932605,0.0013860739691645954,1.0,4.0
998.59,3749.65,5251.525,0.235,0.1633263816062725,0.0008737063463567154,1.0,5.0
998.59,3749.65,5251.525,0.235,0.1633263816062725,0.0008737063463567154,1.0,5.0
1555.515,3776.225,4667.87,0.39,0.21117641612360166,0.000601494308483235,1.0,6.0
1555.515,3776.225,4667.87,0.39,0.21117641612360166,0.000601494308483235,1.0,6.0
1286.565,3671.765,5041.265,0.405,0.18817821506129806,0.0007053778014084357,1.0,7.0
1286.565,3671.765,5041.265,0.405,0.18817821506129806,0.0007053778014084357,1.0,7.0
1186.64,3839.3,4972.71,1.35,0.18206500422804459,0.00020138995614025877,1.0,8.0
1186.64,3839.3,4972.71,1.35,0.18206500422804459,0.00020138995614025877,1.0,8.0
1789.975,3822.06,4379.47,8.495,0.23741183494365897,0.006416053991257734,1.0,9.0
1789.975,3822.06,4379.47,8.495,0.23741183494365897,0.006416053991257734,1.0,9.0
1697.255,3310.56,4984.165,8.02,0.23654969634789297,0.002597593418219437,1.0,0.0
1697.255,3310.56,4984.165,8.02,0.23654969634789297,0.002597593418219437,1.0,0.0
1395.39,3910.515,4690.73,3.365,0.20879242649809446,0.0005451180205467058,1.0,1.0
1395.39,3910.515,4690.73,3.365,0.20879242649809446,0.0005451180205467058,1.0,1.0
1085.55,3999.745,4914.6,0.105,0.16092732189338635,0.0001017939615119192,1.0,2.0
1085.55,3999.745,4914.6,0.105,0.16092732189338635,0.0001017939615119192,1.0,2.0
1465.595,3678.975,4854.175,1.255,0.21043583786027764,0.00042870960216361437,1.0,3.0
1465.595,3678.975,4854.175,1.255,0.21043583786027764,0.00042870960216361437,1.0,3.0
1094.54,3797.625,5107.465,0.37,0.16466872749901376,6.230304471634164e-05,1.0,4.0
1094.54,3797.625,5107.465,0.37,0.16466872749901376,6.230304471634164e-05,1.0,4.0
1690.375,3790.125,4513.905,5.595,0.2413868179805619,0.0008359894474746577,1.0,5.0
1690.375,3790.125,4513.905,5.595,0.2413868179805619,0.0008359894474746577,1.0,5.0
1265.205,3801.39,4931.56,1.845,0.18752869321982724,0.0009748723821042062,1.0,6.0
1265.205,3801.39,4931.56,1.845,0.18752869321982724,0.0009748723821042062,1.0,6.0
1155.875,3887.78,4955.405,0.94,0.17667721895732263,0.0001595280415612276,1.0,7.0
1155.875,3887.78,4955.405,0.94,0.17667721895732263,0.0001595280415612276,1.0,7.0
961.665,3422.07,5615.08,1.185,0.16987882667636156,0.00014012176354895642,1.0,8.0
961.665,3422.07,5615.08,1.185,0.16987882667636156,0.00014012176354895642,1.0,8.0
1394.75,3958.085,4643.375,3.79,0.19848563838450337,0.000588867087105279,1.0,9.0
1394.75,3958.085,4643.375,3.79,0.19848563838450337,0.000588867087105279,1.0,9.0
1146.21,3582.06,5271.16,0.57,0.17768116930801983,0.0025314524255900836,1.0,0.0
1146.21,3582.06,5271.16,0.57,0.17768116930801983,0.0025314524255900836,1.0,0.0
1367.9,3978.365,4652.24,1.495,0.1940313946611947,0.0007652287165549814,1.0,1.0
1367.9,3978.365,4652.24,1.495,0.1940313946611947,0.0007652287165549814,1.0,1.0
1856.1,3550.63,4585.05,8.22,0.24812999273568961,0.0015983474861676697,1.0,2.0
1856.1,3550.63,4585.05,8.22,0.24812999273568961,0.0015983474861676697,1.0,2.0
1211.795,3985.73,4802.085,0.39,0.17804637828310016,0.00028744346347926806,1.0,3.0
1211.795,3985.73,4802.085,0.39,0.17804637828310016,0.00028744346347926806,1.0,3.0
