gamma,replicate,size_begin,size_end,size_diff,bias_begin,bias_end,bias_diff
1.0,0.0,33.5324,24.822,-8.710400000000003,0.2437724953831242,0.2679486512314722,0.024176155848348008
1.0,1.0,32.5834,26.6316,-5.951799999999999,0.1757564562864642,0.1534641560410898,-0.022292300245374402
1.0,2.0,35.32,27.936,-7.384,0.2702474155369954,0.2692922450644417,-0.000955170472553668
1.0,3.0,37.3878,30.6426,-6.745199999999997,0.14490127161607252,0.1697940797845643,0.024892808168491765
1.0,4.0,36.2844,25.2806,-11.003799999999998,0.32227446491079076,0.2885971008536377,-0.03367736405715305
1.0,5.0,17.961,17.594,-0.36699999999999733,0.19704121179816064,0.2040009948455489,0.006959783047388257
1.0,6.0,39.6046,30.4862,-9.118399999999998,0.16231363960451553,0.20405233835141132,0.041738698746895786
1.0,7.0,33.3614,24.2428,-9.118600000000004,0.16435307007789113,0.16466963467157233,0.0003165645936812067
1.0,8.0,23.2756,19.6486,-3.6270000000000024,0.24877239194068168,0.2268414510318007,-0.02193094090888098
1.0,9.0,34.6542,22.4834,-12.170800000000003,0.22166243465766658,0.1840060175491281,-0.03765641710853848
1.0,10.0,38.07,24.8882,-13.181799999999999,0.1666327364451896,0.17559637473124057,0.008963638286050957
1.0,11.0,39.2808,29.7814,-9.499399999999998,0.12743359926900988,0.14857777415790618,0.021144174888896305
1.0,12.0,51.5118,29.2274,-22.2844,0.1740838028919185,0.28371426945924433,0.10963046656732583
1.0,13.0,26.3394,21.0574,-5.282,0.19808309191063997,0.2378635094708539,0.03978041756021394
1.0,14.0,21.9308,22.3734,0.44259999999999877,0.2267299971506934,0.19090067128940436,-0.035829325861289035
1.0,15.0,30.6064,28.9488,-1.6576000000000022,0.12143592149833049,0.13111425676547486,0.009678335267144372
1.0,16.0,31.6542,22.3856,-9.2686,0.23376559503490071,0.234915723205892,0.001150128170991277
1.0,17.0,44.6718,36.0556,-8.6162,0.14849891104794774,0.12459151032601669,-0.023907400721931052
1.0,18.0,45.9414,26.526,-19.4154,0.24335243252352376,0.2156562426716481,-0.027696189851875663
1.0,19.0,36.9914,28.7706,-8.220799999999997,0.15894315877246915,0.17150210555050854,0.012558946778039398
1.0,20.0,32.3592,25.2242,-7.135000000000002,0.1467516824157703,0.1880972648029133,0.041345582387143004
1.0,21.0,36.4576,26.9676,-9.489999999999998,0.15648015773302063,0.16015208193808028,0.0036719242050596568
1.0,22.0,35.8076,24.7134,-11.0942,0.13339983522290116,0.15140328048292565,0.01800344526002448
1.0,23.0,39.1698,27.8458,-11.324000000000002,0.13321983212479396,0.1459114984716733,0.012691666346879349
1.0,24.0,36.9778,28.4936,-8.484200000000001,0.14348398207918414,0.16523313673696813,0.021749154657783987
1.0,25.0,36.1392,31.5354,-4.603800000000003,0.24566133830862086,0.33783389214048054,0.09217255383185968
1.0,26.0,35.923,27.9928,-7.930200000000003,0.13958967092266233,0.13249516378035078,-0.007094507142311551
1.0,27.0,30.9074,25.2342,-5.673199999999998,0.18303001776553898,0.16551447565155966,-0.01751554211397932
1.0,28.0,29.8902,26.1164,-3.7738000000000014,0.1793459796981271,0.1730535522626616,-0.006292427435465514
1.0,29.0,22.5166,18.828,-3.688600000000001,0.20071289465269396,0.20188071578573386,0.001167821133039898
1.0,30.0,41.4932,29.4734,-12.0198,0.15003087652576508,0.2097988003919705,0.059767923866205414
1.0,31.0,18.9172,19.0448,0.1275999999999975,0.1919603156036728,0.19521481029406482,0.003254494690392018
1.0,32.0,24.0776,20.7898,-3.2878000000000007,0.22273737322716095,0.20585484658329717,-0.016882526643863777
