gamma,replicate,size_begin,size_end,size_diff,bias_begin,bias_end,bias_diff
-0.1,0,25.1078,16.9788,-8.129000000000001,0.24332313231842256,0.36075579154540793,0.11743265922698537
-0.1,1,32.2456,20.2622,-11.983400000000003,0.1799366335081488,0.29118594674250003,0.11124931323435122
-0.1,2,28.307,18.3252,-9.9818,0.1879655639495963,0.3360855535882743,0.148119989638678
-0.1,3,30.8256,20.2616,-10.564,0.26109486400557447,0.29200767053977394,0.030912806534199477
-0.1,4,30.219,19.4164,-10.802600000000002,0.20747839008654886,0.3452204094758768,0.13774201938932792
-0.1,5,27.3386,16.8824,-10.456199999999999,0.20181838220029297,0.3471667972075679,0.1453484150072749
-0.1,6,18.707,14.7712,-3.9358000000000004,0.28158122338885466,0.37783893629266585,0.09625771290381119
-0.1,7,24.7078,17.6466,-7.0611999999999995,0.23395043409164004,0.3164460542219602,0.08249562013032016
-0.1,8,31.3358,18.9874,-12.348399999999998,0.18844929791131365,0.3040560364381339,0.11560673852682024
-0.1,9,21.8032,16.7052,-5.097999999999999,0.2743140955292627,0.3667244651774093,0.09241036964814658
-0.1,10,20.8516,18.0268,-2.8247999999999998,0.22646260718091688,0.3059121540537844,0.07944954687286754
-0.1,11,23.1254,16.083,-7.042400000000001,0.1980267549550817,0.33160259176138407,0.13357583680630236
-0.1,12,23.9368,16.2336,-7.7032000000000025,0.27701601556211963,0.3976869356192933,0.12067092005717367
-0.1,13,32.5528,18.9368,-13.615999999999996,0.17415866666829546,0.3367809933716951,0.16262232670339963
-0.1,14,27.8062,18.4168,-9.389400000000002,0.17797313241285104,0.28686224860495535,0.10888911619210431
-0.1,15,24.5042,18.9414,-5.562799999999999,0.283135492812134,0.4319477940606148,0.14881230124848077
-0.1,16,30.1288,20.4756,-9.653199999999998,0.2518880349641272,0.3136939453287366,0.06180591036460942
-0.1,17,22.5694,16.6628,-5.906600000000001,0.22459009128471322,0.328955878531289,0.10436578724657578
-0.1,18,22.1452,18.0674,-4.0778,0.35124977120843887,0.41279799588720395,0.061548224678765084
-0.1,19,21.3748,16.978,-4.396799999999999,0.2776264788833642,0.3297368098845031,0.052110331001138877
-0.1,20,33.4386,21.3506,-12.088000000000001,0.1429055536303825,0.2999463908171088,0.1570408371867263
-0.1,21,26.4874,19.8512,-6.636200000000002,0.2629152649052098,0.34073446941684654,0.07781920451163676
-0.1,22,22.8282,17.2608,-5.567399999999999,0.20272482535879746,0.32991527270010235,0.12719044734130489
-0.1,23,31.5684,20.3634,-11.205000000000002,0.18575827641476766,0.24555607519638387,0.0597977987816162
-0.1,24,34.9086,20.3542,-14.554400000000001,0.30564827092140845,0.3152396744384867,0.009591403517078267
-0.1,25,21.9594,17.9958,-3.9635999999999996,0.3133243068436861,0.34124280590478573,0.02791849906109961
-0.1,26,33.3828,19.3924,-13.990400000000005,0.1932477229220195,0.32461104197207374,0.13136331905005424
-0.1,27,27.4986,17.9328,-9.5658,0.24442115473558146,0.30300367897315394,0.058582524237572486
-0.1,28,43.5678,20.4344,-23.133399999999998,0.14764361166556692,0.310697217049383,0.1630536053838161
-0.1,29,23.0624,17.1596,-5.902799999999999,0.26634817495116425,0.3521875671644821,0.08583939221331782
-0.1,30,16.7166,14.33,-2.3865999999999996,0.27681095577418297,0.40631402277955747,0.1295030670053745
-0.1,31,25.0498,17.4152,-7.6346000000000025,0.22701792184618969,0.33319855636811696,0.10618063452192728
-0.1,32,19.5046,18.3138,-1.1907999999999994,0.2466603570761762,0.3308499224444334,0.0841895653682572
-0.1,33,24.7482,18.818,-5.930199999999999,0.2609743639358544,0.3780140765432237,0.11703971260736934
-0.1,34,29.9722,19.2174,-10.7548,0.20036678700660285,0.3206802374620891,0.12031345045548628
-0.1,35,35.5046,21.8572,-13.647400000000005,0.23245701815106254,0.32424411912415146,0.09178710097308893
-0.1,36,28.4354,18.252,-10.183400000000002,0.22886075477393267,0.3486375324420706,0.11977677766813791
-0.1,37,27.5318,17.7988,-9.733,0.21681800442348534,0.36444286137406645,0.1476248569505811
-0.1,38,24.2936,20.2908,-4.002800000000001,0.22342080807484171,0.3087614144847379,0.08534060640989616
-0.1,39,22.8686,15.7986,-7.07,0.21397103634319806,0.3837923623736877,0.16982132603048963
-0.1,40,28.1792,17.302,-10.877200000000002,0.20415141919655685,0.3286974314194247,0.12454601222286785
-0.1,41,21.573,15.7146,-5.8584,0.32581824166067275,0.37287671938465183,0.047058477723979086
-0.1,42,26.9508,17.922,-9.0288,0.19322435398878873,0.3337175776440924,0.14049322365530365
-0.1,43,25.8774,19.7956,-6.081800000000001,0.27356887105487654,0.3385707219840578,0.06500185092918126
-0.1,44,24.5976,15.367,-9.230599999999999,0.222209144953117,0.35167354521415656,0.12946440026103956
-0.1,45,24.2584,16.7872,-7.471200000000003,0.22976639920185674,0.37720718756048877,0.14744078835863203
-0.1,46,23.2328,17.034,-6.198800000000002,0.21053015923749765,0.32215894213965734,0.11162878290215969
-0.1,47,29.2488,20.18,-9.0688,0.2157910074978115,0.33435615984048067,0.11856515234266918
-0.1,48,30.5954,20.5378,-10.0576,0.20410340037075556,0.3010294018687396,0.09692600149798405
-0.1,49,22.8272,18.1794,-4.6478,0.24315111440540624,0.3552258822421229,0.11207476783671669
-0.1,50,36.3876,20.6796,-15.707999999999998,0.3094213649095895,0.39321329700170515,0.08379193209211566
-0.1,51,21.6552,15.9148,-5.740400000000001,0.2245222272608828,0.3254178327538906,0.10089560549300777
-0.1,52,21.002,17.5902,-3.4117999999999995,0.21645574205962406,0.3163146737481405,0.09985893168851642
-0.1,53,28.5182,22.5786,-5.939599999999999,0.17455467883452522,0.25333408757205517,0.07877940873752995
-0.1,54,31.514,18.4012,-13.1128,0.16921488851889713,0.32079527621960574,0.1515803877007086
-0.1,55,30.5476,20.3746,-10.172999999999998,0.20589384940231784,0.3073050520392068,0.10141120263688899
-0.1,56,18.738,16.5114,-2.2266000000000012,0.35503639996550884,0.4484181151016114,0.09338171513610255
-0.1,57,35.6246,19.3412,-16.2834,0.1468914598611776,0.29707142434903505,0.15017996448785745
-0.1,58,20.7034,19.3438,-1.3595999999999968,0.27263982112420204,0.34479508467197123,0.07215526354776919
-0.1,59,38.9882,20.9132,-18.075,0.15603652683882482,0.26906896563823507,0.11303243879941025
-0.1,60,29.1262,19.2124,-9.913800000000002,0.2701132431441269,0.38510799733331935,0.11499475418919247
-0.1,61,47.9286,21.342,-26.586600000000004,0.1487049628656695,0.308697410371616,0.15999244750594652
-0.1,62,26.3458,18.6694,-7.676400000000001,0.19178645983435758,0.32853941083251725,0.13675295099815968
-0.1,63,23.8592,18.2462,-5.6129999999999995,0.21145249486192874,0.28962158709830127,0.07816909223637253
-0.1,64,29.612,20.4816,-9.130399999999998,0.24952904267749293,0.31377067496728156,0.06424163228978863
-0.1,65,28.3046,20.1194,-8.185200000000002,0.22491401715446774,0.33371676811101436,0.10880275095654662
-0.1,66,39.1696,20.7,-18.469600000000003,0.24700471166897822,0.3670931041836199,0.12008839251464168
-0.1,67,20.154,14.683,-5.471,0.25889440118771323,0.3694732902437352,0.11057888905602198
-0.1,68,18.498,15.2896,-3.208400000000001,0.2666686065561089,0.3709094129638761,0.10424080640776717
-0.1,69,35.68,20.8084,-14.8716,0.21002318573406187,0.3018174699172284,0.09179428418316654
-0.1,70,24.7086,16.1618,-8.546800000000001,0.23482611478317358,0.3915413902076997,0.1567152754245261
-0.1,71,38.8286,21.8306,-16.998,0.1613293881512449,0.25579915159761185,0.09446976344636696
-0.1,72,29.1728,20.6168,-8.555999999999997,0.28813266597310716,0.3486953019388843,0.060562635965777156
-0.1,73,28.1358,17.7584,-10.377399999999998,0.21781406115648486,0.35512222514293584,0.137308163986451
-0.1,74,49.7082,21.0724,-28.6358,0.18891080782682168,0.31610667126800107,0.1271958634411794
-0.1,75,36.0024,20.3576,-15.6448,0.19465381683298918,0.34211138414109427,0.14745756730810508
-0.1,76,29.4606,17.8296,-11.631,0.15863806587764542,0.3240704378866686,0.1654323720090232
-0.1,77,21.8084,16.5886,-5.219799999999999,0.22851488398178907,0.35631478239851616,0.1277998984167271
-0.1,78,34.0444,17.4972,-16.547200000000004,0.2990303177904251,0.3625400640651919,0.0635097462747668
-0.1,79,25.3024,17.2458,-8.0566,0.21804300754779218,0.34020357908006255,0.12216057153227036
-0.1,80,30.0418,19.137,-10.904799999999998,0.17739595697255175,0.28595964889785197,0.10856369192530022
-0.1,81,27.9022,17.6586,-10.2436,0.17928972745296531,0.3201187876556111,0.14082906020264577
-0.1,82,38.7802,21.1536,-17.6266,0.14631063502444483,0.29415733439664854,0.1478466993722037
-0.1,83,23.7786,16.2522,-7.526400000000002,0.21385798018621463,0.3701947735644813,0.1563367933782667
-0.1,84,27.923,18.4516,-9.4714,0.23263323609277473,0.32748277958949024,0.09484954349671551
-0.1,85,24.6624,19.581,-5.081400000000002,0.2145744566446052,0.3178122062172741,0.10323774957266887
-0.1,86,19.8802,18.5794,-1.3007999999999988,0.22303035358470333,0.308920155867658,0.08588980228295465
-0.1,87,34.5502,18.9254,-15.624799999999997,0.17043101883418244,0.3302056325865462,0.1597746137523638
-0.1,88,36.8084,23.9928,-12.8156,0.1605772731691312,0.22807390599624677,0.06749663282711557
-0.1,89,18.153,13.7026,-4.450399999999998,0.28856470868526846,0.3664211990701061,0.07785649038483766
-0.1,90,26.353,18.4954,-7.8576000000000015,0.16167879074512279,0.27239538933467305,0.11071659858955027
-0.1,91,18.7834,16.8224,-1.961000000000002,0.2959785338773007,0.3624371722515753,0.06645863837427457
-0.1,92,28.7152,18.9792,-9.736,0.17278818453671155,0.2762595641473398,0.10347137961062827
-0.1,93,19.678,16.1754,-3.502600000000001,0.24214410931754377,0.35420868826228,0.11206457894473626
-0.1,94,22.1454,16.1152,-6.030199999999997,0.23231444014925684,0.3375579667764219,0.10524352662716507
-0.1,95,24.292,18.4144,-5.877600000000001,0.24655330129271713,0.392589908503949,0.14603660721123185
-0.1,96,26.1306,17.6978,-8.4328,0.21468586728227826,0.30304195992289473,0.08835609264061647
-0.1,97,38.7506,19.6668,-19.0838,0.19751691706817998,0.2942163076038082,0.0966993905356282
-0.1,98,28.1798,17.3268,-10.853000000000002,0.14977067462313548,0.28677866421772513,0.13700798959458965
-0.1,99,38.2826,20.1664,-18.116200000000003,0.22562294411668188,0.3414493851203214,0.11582644100363954
-0.2,0,39.0604,18.7374,-20.323,0.20405509202671346,0.347974589644274,0.14391949761756057
-0.2,1,33.5828,18.5082,-15.0746,0.23012727571092934,0.38635370399185026,0.15622642828092093
-0.2,2,21.9564,17.1244,-4.831999999999997,0.25685039566911383,0.39171342310450763,0.1348630274353938
-0.2,3,27.285,16.5358,-10.749200000000002,0.15805748836847874,0.323114879833866,0.16505739146538725
-0.2,4,28.9176,19.485,-9.4326,0.2031319821712991,0.3017603749081572,0.09862839273685811
-0.2,5,33.0304,18.2794,-14.751000000000001,0.2676147694610277,0.3587944708348694,0.09117970137384168
-0.2,6,44.8916,20.9316,-23.959999999999997,0.14465555736250196,0.32561678599565486,0.1809612286331529
-0.2,7,28.5972,20.7914,-7.805800000000001,0.17051022457286472,0.28488075000945456,0.11437052543658985
-0.2,8,30.9368,18.3432,-12.593600000000002,0.18727132346431966,0.3530798533195566,0.16580852985523695
-0.2,9,50.9576,21.7996,-29.157999999999998,0.148054387173462,0.3437651975648001,0.1957108103913381
-0.2,10,46.4826,22.7666,-23.715999999999998,0.17205884917106593,0.30758720274555634,0.13552835357449042
-0.2,11,34.9106,20.2434,-14.667200000000001,0.24892124489443251,0.3461074276277708,0.09718618273333829
-0.2,12,37.5366,19.0032,-18.5334,0.19666477626950984,0.3128196176227966,0.11615484135328674
-0.2,13,44.8822,22.5438,-22.338399999999996,0.15514260179716272,0.2862672450373787,0.131124643240216
-0.2,14,23.6704,18.4628,-5.207599999999999,0.2597805278856279,0.3512259054833997,0.09144537759777183
-0.2,15,29.6464,19.4412,-10.205200000000001,0.29968419348470776,0.38102969700694705,0.08134550352223929
-0.2,16,24.3284,17.0752,-7.2532,0.2442950945369441,0.3270660989325158,0.08277100439557172
-0.2,17,24.8436,18.8114,-6.0322,0.19783210634992915,0.29874863798628415,0.100916531636355
-0.2,18,18.6494,16.8774,-1.7719999999999985,0.2521553110566252,0.35715001542418257,0.10499470436755737
-0.2,19,24.6652,16.4844,-8.180799999999998,0.21078362053626568,0.33125083339109185,0.12046721285482617
-0.2,20,34.4394,18.7612,-15.6782,0.16135343059176394,0.3400298383352916,0.17867640774352767
-0.2,21,25.3084,19.1502,-6.158199999999997,0.21470689933669937,0.35141738501711134,0.13671048568041197
-0.2,22,30.129,20.1256,-10.003400000000003,0.19940800508724724,0.32177054102472513,0.1223625359374779
-0.2,23,34.5912,21.4336,-13.157600000000002,0.20693048226026947,0.32319208978212655,0.11626160752185707
-0.2,24,24.0668,17.5938,-6.472999999999999,0.26431541393599406,0.38425079271945817,0.11993537878346411
-0.2,25,24.9386,15.1378,-9.8008,0.21835683937196002,0.3719737174818388,0.15361687810987876
-0.2,26,28.8724,17.3592,-11.513199999999998,0.22573090083627612,0.3841929096430556,0.15846200880677946
-0.2,27,19.7372,15.4242,-4.313000000000001,0.25444410405161827,0.35884014926669466,0.1043960452150764
-0.2,28,34.1546,21.4616,-12.693000000000001,0.17988751138864428,0.30405223541843784,0.12416472402979356
-0.2,29,18.326,15.1956,-3.1304,0.26504605554956145,0.36887084737543435,0.1038247918258729
-0.2,30,31.9594,21.7344,-10.224999999999998,0.18803926395623022,0.2827233160171244,0.0946840520608942
-0.2,31,23.365,19.3644,-4.000599999999999,0.19395201051805863,0.3216598099083997,0.12770779939034108
-0.2,32,21.5442,17.2468,-4.2974,0.2146832487204594,0.33549142748599237,0.12080817876553296
-0.2,33,27.667,18.8502,-8.8168,0.20810094891697853,0.35361577502799885,0.14551482611102032
-0.2,34,31.3372,16.0168,-15.3204,0.17577908731735678,0.38611521248094915,0.21033612516359237
-0.2,35,28.6986,22.3184,-6.3801999999999985,0.19758232477208737,0.2743085328915677,0.07672620811948033
-0.2,36,23.0908,17.5046,-5.586200000000002,0.2401226479407617,0.34384056551967723,0.10371791757891552
-0.2,37,33.804,18.9986,-14.805400000000002,0.1491620855717791,0.3086490401787361,0.15948695460695703
-0.2,38,19.4866,15.8988,-3.5877999999999997,0.28395352963980197,0.38344123962824544,0.09948770998844347
-0.2,39,29.1234,16.9964,-12.126999999999999,0.20211909230658084,0.36155442737431687,0.15943533506773602
-0.2,40,22.3988,17.4436,-4.955200000000001,0.22550769397191464,0.34246882977091275,0.11696113579899811
-0.2,41,26.2982,17.473,-8.825200000000002,0.24045549375133,0.33533842977323863,0.09488293602190864
-0.2,42,22.5894,17.2832,-5.3062000000000005,0.25455076509080354,0.39495008293712924,0.1403993178463257
-0.2,43,26.1482,17.776,-8.3722,0.2616180768821084,0.3464695411725418,0.08485146429043339
-0.2,44,27.2038,21.212,-5.991800000000001,0.2598730324085911,0.379365672174832,0.11949263976624092
-0.2,45,26.7606,20.1898,-6.570799999999998,0.21546867460019736,0.3035124167521973,0.08804374215199995
-0.2,46,36.4826,19.5006,-16.982,0.16232584380412646,0.3214635122617685,0.15913766845764205
-0.2,47,27.0536,18.947,-8.1066,0.203269610969828,0.3144237625392667,0.11115415156943867
-0.2,48,35.8976,18.9616,-16.935999999999996,0.18945004459541295,0.3591777419924948,0.16972769739708185
-0.2,49,29.4774,19.3316,-10.145799999999998,0.2874110091090937,0.3400991104735648,0.05268810136447111
-0.2,50,26.807,19.9272,-6.8797999999999995,0.18872266366046508,0.312568576571225,0.12384591291075991
-0.2,51,19.0016,15.7852,-3.2164,0.2627103425412794,0.38058625960627984,0.11787591706500045
-0.2,52,24.4134,17.4062,-7.007200000000001,0.24308988086853955,0.3032377248196611,0.06014784395112155
-0.2,53,40.045,18.6788,-21.366200000000003,0.17068900418220231,0.3198334386722775,0.14914443449007517
-0.2,54,33.2932,19.7568,-13.5364,0.1746315003798199,0.311534177368447,0.13690267698862713
-0.2,55,32.1052,18.9874,-13.117800000000003,0.15690702400396586,0.2999659609327781,0.14305893692881225
-0.2,56,38.5654,21.7306,-16.834799999999998,0.14559033452332792,0.2821975587055649,0.13660722418223697
-0.2,57,32.7518,23.3252,-9.426600000000004,0.17268981834359556,0.28846615810856513,0.11577633976496957
-0.2,58,28.9424,18.3222,-10.6202,0.19099790580786521,0.36858272987510454,0.17758482406723933
-0.2,59,36.572,23.6862,-12.885800000000003,0.13273748179268918,0.23397630516713608,0.1012388233744469
-0.2,60,21.7204,16.0304,-5.690000000000001,0.2639091139563151,0.364738078136761,0.1008289641804459
-0.2,61,20.7008,16.4634,-4.237400000000001,0.25547964972335335,0.3531543157939154,0.09767466607056202
-0.2,62,24.803,18.8696,-5.9334000000000024,0.31063097569352605,0.37938356197658435,0.0687525862830583
-0.2,63,35.5024,19.9078,-15.5946,0.18296657642986022,0.2852956552352726,0.1023290788054124
-0.2,64,22.8862,17.4728,-5.413399999999999,0.27256278883917273,0.3484886815761746,0.07592589273700184
-0.2,65,21.9156,15.6936,-6.222000000000001,0.24422575159553617,0.35954767006801963,0.11532191847248346
-0.2,66,23.9152,17.7282,-6.186999999999998,0.19773065630110437,0.29394493707629515,0.09621428077519079
-0.2,67,31.7528,19.4044,-12.348400000000002,0.16283726883115435,0.3462292941336014,0.18339202530244703
-0.2,68,20.4104,14.3658,-6.044599999999999,0.22905080110331477,0.38038586270662283,0.15133506160330806
-0.2,69,25.0112,18.078,-6.933199999999999,0.21122242347557266,0.3288839089872827,0.11766148551171005
-0.2,70,25.7758,20.4444,-5.331399999999999,0.18925920372010333,0.2825846303875568,0.0933254266674535
