samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,10.7086,6.2314,4.4772,94.4915,54.5421,39.9494,14.8145,0.1820478449152375,1.0,49.0
20.0,9.411,5.1212,4.2898,63.4981,34.6528,28.8453,5.8231,0.10368748021250178,1.0,50.0
20.0,10.7743,5.9002,4.8741,90.6123,49.9946,40.6177,9.6163,0.12320751082319688,1.0,51.0
20.0,10.8276,5.5233,5.3043,96.5924,49.025,47.5674,2.8072,0.03481457560941426,1.0,52.0
20.0,10.4517,5.1765,5.2752,93.4684,46.6212,46.8472,2.2534,0.03559379159863116,1.0,53.0
20.0,11.0097,6.0319,4.9778,97.1121,53.3324,43.7797,9.8579,0.15164358717747314,1.0,54.0
20.0,10.6485,5.0837,5.5648,92.0197,43.7538,48.2659,4.6113,0.10252417134983126,1.0,55.0
20.0,9.8138,5.5336,4.2802,59.1946,32.6666,26.528,6.403,0.1080268116175674,1.0,56.0
20.0,10.5092,5.0269,5.4823,109.0352,51.7914,57.2438,6.7882,0.0554736006423116,1.0,57.0
20.0,9.0687,3.897,5.1717,19.4709,9.0258,10.4451,2.5811,0.2265172865757794,1.0,58.0
20.0,10.2857,5.3028,4.9829,94.8932,49.3742,45.519,5.238,0.09011863378448019,1.0,59.0
20.0,9.9559,4.7154,5.2405,75.8353,35.849,39.9863,4.8479,0.1348944432360878,1.0,60.0
20.0,10.1064,4.8649,5.2415,84.728,40.8246,43.9034,4.3414,0.09309446392673137,1.0,61.0
20.0,10.6389,5.0866,5.5523,98.5827,47.1317,51.451,6.7769,0.07833469420010478,1.0,62.0
20.0,9.4652,5.0619,4.4033,35.9775,19.2832,16.6943,3.3833,0.12093053266502049,1.0,63.0
20.0,9.2763,4.5114,4.7649,28.8286,14.9179,13.9107,2.2882,0.16172450009989084,1.0,64.0
20.0,9.9853,4.8523,5.133,63.4229,30.9781,32.4448,3.2131,0.12594088539004775,1.0,65.0
20.0,10.011,4.2008,5.8102,76.5119,31.6728,44.8391,13.1875,0.25909854320396464,1.0,66.0
20.0,8.6169,3.9556,4.6613,30.4025,14.733,15.6695,2.0669,0.10149700125977477,1.0,67.0
20.0,9.9881,5.2435,4.7446,63.8576,33.135,30.7226,6.1038,0.21965746217985274,1.0,68.0
20.0,10.3828,4.8126,5.5702,93.0748,43.6065,49.4683,7.7118,0.09397654416202961,1.0,69.0
20.0,9.3986,4.6342,4.7644,33.4827,18.2415,15.2412,3.3213,0.12614636489503442,1.0,70.0
20.0,9.9406,5.0984,4.8422,70.0315,35.3645,34.667,3.5969,0.07591474169372468,1.0,71.0
20.0,9.9597,5.3948,4.5649,82.8806,45.0597,37.8209,7.2484,0.1320964938575215,1.0,72.0
20.0,10.48,5.5952,4.8848,84.2343,45.0592,39.1751,6.7285,0.1204807960407115,1.0,73.0
20.0,9.8735,4.3756,5.4979,67.5061,28.7177,38.7884,10.1421,0.21932877755952143,1.0,74.0
20.0,8.9898,4.4467,4.5431,30.4182,14.8898,15.5284,2.41,0.13721274427625024,1.0,75.0
20.0,9.091,4.7754,4.3156,27.0342,15.3805,11.6537,3.9604,0.2704431453357168,1.0,76.0
20.0,10.2813,5.8832,4.3981,76.2906,43.5332,32.7574,11.1518,0.1262113362371641,1.0,77.0
20.0,9.3355,4.3401,4.9954,30.388,15.5059,14.8821,2.7128,0.2068354008671766,1.0,78.0
20.0,10.8139,4.992,5.8219,90.0189,42.2853,47.7336,5.8789,0.07375235624331777,1.0,79.0
20.0,11.1949,6.8414,4.3535,96.7668,59.8109,36.9559,22.855,0.28034520765396664,1.0,80.0
20.0,9.757,4.908,4.849,67.1437,32.9957,34.148,1.8749,0.04349521855592922,1.0,81.0
20.0,10.0223,4.9771,5.0452,86.0254,42.8644,43.161,2.8344,0.06333274459438293,1.0,82.0
20.0,10.2655,5.1378,5.1277,90.6279,45.598,45.0299,4.5291,0.10066666920851224,1.0,83.0
20.0,10.9813,5.2187,5.7626,92.6548,44.3507,48.3041,4.024,0.05142762833175993,1.0,84.0
20.0,10.578,4.9775,5.6005,106.2324,50.8913,55.3411,6.4572,0.07628110339190562,1.0,85.0
20.0,9.5437,4.9163,4.6274,32.7332,15.6793,17.0539,3.3108,0.177189514585924,1.0,86.0
20.0,10.1575,4.2301,5.9274,85.8278,35.8454,49.9824,14.1462,0.2816939072883901,1.0,87.0
20.0,9.6088,4.7674,4.8414,60.6177,31.3776,29.2401,3.5551,0.12316610471074584,1.0,88.0
20.0,10.4859,5.7116,4.7743,95.0083,52.1866,42.8217,9.3827,0.12966136315585253,1.0,89.0
20.0,10.2348,4.8159,5.4189,71.6689,33.2926,38.3763,5.2645,0.181490433921372,1.0,90.0
20.0,10.1949,6.3103,3.8846,83.5382,51.9659,31.5723,20.4094,0.2551800278517134,1.0,91.0
