gamma,assort_final,assort_initial
-0.2,-0.002915325551286542,-0.0050251256281407695
-0.2,-1.1040832783277184e-05,-0.005025125628140704
-0.2,-0.003742014673914029,-0.005025125628140704
-0.2,0.002540460264541184,-0.005025125628140704
-0.2,0.01023493486571251,-0.005025125628140783
-0.2,0.009084646210468188,-0.005025125628140731
-0.2,0.009458973131040086,-0.005025125628140659
-0.2,0.006786772088711342,-0.005025125628140783
-0.2,0.004940882432128957,-0.005025125628140696
-0.2,0.00986639831231161,-0.005025125628140783
-0.2,0.0007379831108303233,-0.005025125628140636
-0.2,0.008502672879189722,-0.0050251256281407695
-0.2,0.00015940901433951588,-0.005025125628140696
-0.2,0.014181273718763656,-0.005025125628140674
-0.2,0.0032323827788723926,-0.005025125628140704
-0.2,0.0034167584616249373,-0.005025125628140636
-0.2,-0.001416184546587455,-0.005025125628140711
-0.2,-0.00016073341299294307,-0.005025125628140783
-0.2,3.2922658595369126e-05,-0.005025125628140704
-0.2,-0.001603441294083105,-0.005025125628140783
-0.2,0.007905669352494447,-0.005025125628140674
-0.2,0.001174236010423843,-0.005025125628140674
-0.2,0.00577687173032289,-0.005025125628140696
-0.2,0.010975141800201491,-0.005025125628140711
-0.2,-0.0011991255839433233,-0.005025125628140636
-0.2,-0.004155068595498494,-0.005025125628140636
-0.2,0.001803293474718284,-0.005025125628140749
-0.2,-0.0032377705110447647,-0.005025125628140783
-0.2,0.004104792319857307,-0.005025125628140696
-0.2,-0.0022192479620048856,-0.0050251256281407695
-0.2,0.0053786635250583185,-0.005025125628140659
-0.2,-0.0005668984014855556,-0.005025125628140622
-0.2,-0.001941340932557899,-0.005025125628140749
-0.2,0.0022570541540666822,-0.005025125628140674
-0.2,0.0008668321857959371,-0.005025125628140659
-0.2,0.002670694071550276,-0.005025125628140733
-0.2,-0.0011334626788676446,-0.005025125628140622
-0.2,0.014361805695904502,-0.005025125628140783
-0.2,-0.0011952345429759915,-0.005025125628140674
-0.2,0.0018787265806222931,-0.005025125628140674
-0.2,0.0010283488705548315,-0.0050251256281407695
-0.2,0.000782703666891006,-0.005025125628140659
-0.2,0.0010012442093026955,-0.005025125628140733
-0.2,-0.0029353134236291766,-0.005025125628140704
-0.2,0.005611015230633926,-0.005025125628140677
-0.2,0.0012348260277214697,-0.005025125628140659
-0.2,0.004495135698497066,-0.005025125628140674
-0.2,0.0018146951286359386,-0.005025125628140711
-0.2,0.004526554480731407,-0.005025125628140674
-0.2,-0.0012859935613120336,-0.005025125628140677
-0.2,-0.00031375494711080565,-0.005025125628140677
-0.2,-0.0003606255497812482,-0.005025125628140622
-0.2,0.0002498993516398435,-0.005025125628140674
-0.2,0.003875492804958432,-0.005025125628140659
-0.2,0.002754048557355076,-0.005025125628140659
-0.2,0.0045617750388907115,-0.005025125628140733
-0.2,0.006754756305646363,-0.005025125628140783
-0.2,0.0034441702343820926,-0.005025125628140711
-0.2,0.005334575191517355,-0.005025125628140622
-0.2,0.006026645577414439,-0.005025125628140783
-0.2,-0.0034356732600181726,-0.005025125628140677
-0.2,-0.0013800380181199702,-0.005025125628140696
-0.2,0.0024940569326175866,-0.005025125628140636
-0.2,0.010766720646413064,-0.005025125628140636
-0.2,-0.0030545536798067263,-0.005025125628140674
-0.2,-0.0018429928734483994,-0.005025125628140696
-0.2,0.002345938065779064,-0.005025125628140674
-0.2,0.002818912517834327,-0.005025125628140704
-0.2,-0.0022750360000502756,-0.005025125628140704
