samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,9.9761,4.5981,5.378,17.7049,7.9681,9.7368,1.7048613824642207,8.4401,0.5434442203751649,-0.20000000000003176,39.0
20.0,9.9457,5.3535,4.5922,18.0742,9.5721,8.5021,1.745028276666263,8.3756,0.5301219043920569,-0.20000000000003176,40.0
20.0,9.8213,4.993,4.8283,18.1581,8.584,9.5741,1.7948551180498302,8.5019,0.529547253730004,-0.20000000000003176,41.0
20.0,9.8387,4.5226,5.3161,16.9353,7.5391,9.3962,1.6538457567283587,8.0619,0.5353061383005641,-0.20000000000003176,42.0
20.0,10.1291,5.4691,4.66,17.4045,8.8838,8.5207,1.6423029156791495,8.1719,0.5368833947929068,-0.20000000000003176,43.0
20.0,10.386,4.3141,6.0719,19.8784,7.5481,12.3303,1.8648939563301066,9.22,0.5145594025381311,-0.20000000000003176,44.0
20.0,9.891,4.8172,5.0738,18.8462,9.409,9.4372,1.861838721839625,8.4288,0.5077307396282094,-0.20000000000003176,45.0
20.0,10.3946,4.645,5.7496,20.9399,9.2758,11.6641,1.9363547785281285,9.6167,0.5130444733768345,-0.20000000000003176,46.0
20.0,9.9546,4.9734,4.9812,16.8774,9.2098,7.6676,1.6323567573073459,7.958,0.5258516071757894,-0.20000000000003176,47.0
20.0,10.1448,4.5961,5.5487,18.0795,7.8267,10.2528,1.696006064321158,8.7085,0.5377482914476663,-0.20000000000003176,48.0
20.0,10.0021,4.8731,5.129,18.4046,10.7849,7.6197,1.826458228579397,8.3396,0.5121997555575799,-0.20000000000003176,49.0
20.0,10.2254,4.7092,5.5162,20.6144,9.6041,11.0103,1.9470578984023514,9.5478,0.5276553988587225,-0.20000000000003176,50.0
20.0,9.7254,5.3182,4.4072,16.5254,9.7068,6.8186,1.6530650967513314,8.1998,0.5472780327674958,-0.20000000000003176,51.0
20.0,9.4912,5.2886,4.2026,18.2099,11.2078,7.0021,1.8584428602168224,9.0567,0.5459816425281815,-0.20000000000003176,52.0
20.0,10.132,5.1787,4.9533,18.6237,8.1659,10.4578,1.783826974609406,8.6097,0.5211967033357341,-0.20000000000003176,53.0
20.0,10.5798,5.3155,5.2643,22.0856,11.1844,10.9012,2.0011520978991837,9.2994,0.49444028137952434,-0.20000000000003176,54.0
20.0,9.9624,4.4918,5.4706,20.2422,8.6121,11.6301,1.9568574560514163,9.4058,0.5118371426685606,-0.20000000000003176,55.0
20.0,10.6987,5.3059,5.3928,22.8571,10.9407,11.9164,2.0516629421054327,10.3749,0.5103497086809387,-0.20000000000003176,56.0
20.0,10.3128,5.1024,5.2104,19.2942,9.447,9.8472,1.7923298524625693,8.6618,0.5040255181881789,-0.20000000000003176,57.0
20.0,10.0579,5.4512,4.6067,17.0676,9.524,7.5436,1.6226077360528979,8.1514,0.5307674882620598,-0.20000000000003176,58.0
20.0,10.2093,5.0618,5.1475,23.0862,11.6709,11.4153,2.20784153687252,9.9474,0.48980645619555374,-0.20000000000003176,59.0
20.0,9.4586,4.1231,5.3355,15.7566,6.3833,9.3733,1.6041924388246775,7.7688,0.5524495486907466,-0.20000000000003176,60.0
20.0,9.4499,4.6599,4.79,17.3802,9.1877,8.1925,1.8074209622479953,8.113,0.5322562055734553,-0.20000000000003176,61.0
20.0,9.7887,5.6066,4.1821,19.3411,12.1241,7.217,1.8847826614969978,10.1383,0.568973928704837,-0.20000000000003176,62.0
20.0,10.2091,5.7941,4.415,19.6694,11.2398,8.4296,1.8564365232618674,9.247,0.5210072025182704,-0.20000000000003176,63.0
20.0,9.7418,4.848,4.8938,16.9212,7.6891,9.2321,1.6785705532085884,7.9834,0.5346112765148915,-0.20000000000003176,64.0
20.0,9.9158,4.9931,4.9227,15.9039,7.8828,8.0211,1.5301459094730288,7.8063,0.5570092031768543,-0.20000000000003176,65.0
20.0,9.6595,4.3711,5.2884,18.0791,8.4867,9.5924,1.8005448488373332,8.3029,0.5197541043789278,-0.20000000000003176,66.0
20.0,9.8516,4.815,5.0366,17.7352,7.6046,10.1306,1.7364338136680473,8.3266,0.5154153651922723,-0.20000000000003176,67.0
20.0,9.3807,4.3629,5.0178,15.5236,7.1944,8.3292,1.5830994809197296,7.4956,0.5461406160301745,-0.20000000000003176,68.0
