Gamma,Assortativity
0.8,0.021787478727333713
0.8,0.10449810290301975
0.8,0.019634942522384166
0.8,0.03472658053157175
0.8,0.06610111833992426
0.8,0.17057113944184504
0.8,0.04146801776338671
0.8,-0.004645889219441911
0.8,0.05591598252089196
0.8,0.0861380619498124
0.8,0.04139374600917877
0.8,0.02181335551090837
0.8,0.042595664692147026
0.8,-0.01997032120022996
0.8,0.0679660120573434
0.8,0.0337223299050439
0.8,0.04521416925347549
0.8,0.11799427863130903
0.8,0.045290189694774725
0.8,0.03199851818249472
0.8,0.021263442551092953
0.8,0.03644527536326885
0.8,0.002094424689774601
0.8,0.06718430722970173
0.8,0.04032922240150895
0.8,-0.029071375613996496
0.8,0.06964253552635785
0.8,0.07105238671300822
0.8,0.022643648375456068
0.8,0.04621533953095085
0.8,0.09234263278166067
0.8,0.10092887385043443
0.8,0.12634967392981725
0.8,0.048332298217697425
0.8,0.08875657502461146
0.8,0.11077898611000893
0.8,0.013138115764593217
0.8,0.019731974233770776
0.8,0.028434974587163864
0.8,0.012126970399443309
0.8,0.03414556296290917
0.8,0.033151733653018906
0.8,0.08935343165270364
0.8,0.09845426740035836
0.8,0.05240701827370819
0.8,0.08750727593845839
0.8,0.03179530477334064
0.8,0.034117903967026006
0.8,0.010207467859642994
0.8,0.08010288257011572
0.8,0.0716173879090108
0.8,0.028178193299953778
0.8,0.04357195982316018
0.8,0.07561989992648589
0.8,0.03719108531098778
0.8,0.08253077991194739
0.8,0.006721701216521318
0.8,0.04768408418999596
0.8,0.04528920423478709
0.8,0.07591619323997216
0.8,0.05286022236305165
0.8,0.07523110705466866
0.8,0.0658987958156327
0.8,0.15194263287194
0.8,0.08473873904705262
0.8,0.04508734867171984
0.8,0.0335638955198364
0.8,0.05433838843654236
0.8,0.05430002520663352
0.8,0.05327057363965502
0.8,0.12615229248067986
0.8,0.027358840372283696
0.8,0.048357073724651076
0.8,0.02700747718912742
0.8,0.08477098508588823
0.8,0.050018839790608664
0.8,0.03598867161152962
0.8,-0.03328043411501585
0.8,0.020795228928234495
0.8,0.02458321791481315
0.8,0.056473538712505864
0.8,0.06889783823707729
0.8,0.16048118820245336
0.8,0.0673006845288686
0.8,0.02254572203183989
0.8,0.018479867622216664
0.8,0.11448062143898124
0.8,0.048995468046869335
0.8,0.038309528774988263
0.8,0.04771069982484341
0.8,0.047150206151083215
0.8,0.041299036975277245
0.8,0.06615750748585698
0.8,0.10481057866108599
0.8,0.04855042673862266
0.8,-0.05684537190597017
