trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,9.6536,4.7084,4.9452,14.0658,6.9605,7.1053,1.403291005273047,7.0106,0.5533441585444047,-0.10000000000001588,39
pre,20.0,9.6517,4.656,4.9957,33.3373,17.1121,16.2252,3.331961135346436,4.5373,0.1850881527986716,-0.10000000000001588,39
post,20.0,10.4542,5.1984,5.2558,15.5372,7.5572,7.98,1.4255837108746119,7.3664,0.5251856883888271,-0.10000000000001588,66
pre,20.0,10.4063,5.1206,5.2857,55.9902,27.6514,28.3388,5.64345796852635,4.5074,0.10539378347229192,-0.10000000000001588,66
post,20.0,9.3522,4.6453,4.7069,12.5879,6.3957,6.1922,1.2887927460443105,6.3779,0.5614843629011084,-0.10000000000001588,67
pre,20.0,9.3414,4.6623,4.6791,27.3332,13.2528,14.0804,3.1172641676351045,4.1538,0.18874480653486841,-0.10000000000001588,67
post,20.0,10.0233,5.3321,4.6912,14.1298,7.7391,6.3907,1.349348872729386,6.9698,0.5358672820930366,-0.10000000000001588,36
pre,20.0,10.0062,5.2517,4.7545,58.374,32.7939,25.5801,6.286326418123294,7.724,0.15459261488499945,-0.10000000000001588,36
post,20.0,10.3743,5.1683,5.206,15.5507,7.5932,7.9575,1.432535368093997,7.4045,0.5086569980862921,-0.10000000000001588,20
pre,20.0,10.3117,5.1993,5.1124,56.5443,27.3886,29.1557,5.042578927086901,4.3283,0.12918323777087543,-0.10000000000001588,20
post,20.0,9.5511,4.8815,4.6696,13.4123,6.8913,6.521,1.342496777146448,6.7679,0.5461757688991941,-0.10000000000001588,32
pre,20.0,9.6009,4.8909,4.71,33.3097,16.7641,16.5456,3.4350461798980807,4.3871,0.17304505282965993,-0.10000000000001588,32
post,20.0,10.3351,5.0913,5.2438,14.688,6.9398,7.7482,1.360537956534802,7.004,0.5080310920174782,-0.10000000000001588,1
pre,20.0,10.2941,5.0738,5.2203,68.0073,31.1899,36.8174,6.895113334539287,6.4337,0.11470583374343979,-0.10000000000001588,1
post,20.0,9.4442,5.0612,4.383,13.3371,7.221,6.1161,1.3588299699290878,6.5603,0.539809454619906,-0.10000000000001588,22
pre,20.0,9.4185,5.0149,4.4036,41.4338,22.6425,18.7913,4.1474805631165985,5.1288,0.15810472032466216,-0.10000000000001588,22
post,20.0,9.3062,5.0595,4.2467,13.0813,7.4209,5.6604,1.3457586737156277,6.6503,0.5563718130907551,-0.10000000000001588,68
pre,20.0,9.3238,5.0802,4.2436,33.894,20.0643,13.8297,3.5751722299629076,7.3628,0.270539856679415,-0.10000000000001588,68
post,20.0,9.7609,4.8803,4.8806,14.2435,7.3112,6.9323,1.4031162816671767,7.0169,0.5474023302862001,-0.10000000000001588,83
pre,20.0,9.7738,4.9328,4.841,55.0892,26.768,28.3212,5.612863368133517,4.136,0.12514993621253137,-0.10000000000001588,83
post,20.0,9.2128,4.4769,4.7359,12.5146,6.2872,6.2274,1.2989766626050554,6.3744,0.5653267390446849,-0.10000000000001588,89
pre,20.0,9.2672,4.5542,4.713,16.4755,8.015,8.4605,1.710882727185304,4.4685,0.34867205052639816,-0.10000000000001588,89
post,20.0,9.6527,4.5066,5.1461,13.4246,5.9638,7.4608,1.337133977011685,6.7794,0.5560591192842401,-0.10000000000001588,29
pre,20.0,9.6039,4.5079,5.096,28.6988,12.2484,16.4504,2.8437958245549564,5.6772,0.2557134575050357,-0.10000000000001588,29
post,20.0,10.5827,5.7139,4.8688,16.3152,8.9105,7.4047,1.4670083338435251,8.068,0.5293949571661739,-0.10000000000001588,28
pre,20.0,10.598,5.782,4.816,78.417,43.123,35.294,7.982275999665448,8.1076,0.11243388438989135,-0.10000000000001588,28
post,20.0,9.4298,4.5908,4.839,13.8798,6.9598,6.92,1.4029645069047147,7.1974,0.5606907962986133,-0.10000000000001588,11
pre,20.0,9.4152,4.594,4.8212,38.1663,20.2967,17.8696,4.084372530992514,5.4867,0.19120972842748934,-0.10000000000001588,11
post,20.0,9.9961,4.7974,5.1987,15.0819,7.3751,7.7068,1.4434667432557797,7.2733,0.5240070284275116,-0.10000000000001588,34
pre,20.0,10.0916,4.8712,5.2204,66.8349,32.0252,34.8097,6.983918703949497,4.6335,0.09218881085144646,-0.10000000000001588,34
post,20.0,10.3338,5.2833,5.0505,14.6473,7.6064,7.0409,1.3596035724531765,7.1245,0.5372758174705393,-0.10000000000001588,0
pre,20.0,10.3009,5.3242,4.9767,68.7301,34.563,34.1671,6.508273580128342,4.3753,0.10764908738805079,-0.10000000000001588,0
post,20.0,9.6222,4.8726,4.7496,14.2781,7.2612,7.0169,1.4172647008171007,7.1363,0.543126371919497,-0.10000000000001588,41
pre,20.0,9.6615,4.9092,4.7523,43.0503,22.0412,21.0091,4.526417501006676,4.4221,0.14311591384906935,-0.10000000000001588,41
post,20.0,10.1039,5.1726,4.9313,15.4752,8.2013,7.2739,1.4614115574837196,7.6914,0.5416739368238964,-0.10000000000001588,4
pre,20.0,9.96,5.1709,4.7891,55.9773,30.5082,25.4691,5.8452017022896126,6.2023,0.15506124549632183,-0.10000000000001588,4
post,20.0,9.5844,4.5096,5.0748,13.985,6.4848,7.5002,1.3993364507317985,6.9592,0.5477914649873883,-0.10000000000001588,17
pre,20.0,9.6256,4.4878,5.1378,40.2645,14.712,25.5525,4.189534404285947,11.0095,0.3115250517242636,-0.10000000000001588,17
post,20.0,10.2193,4.9532,5.2661,15.9161,7.492,8.4241,1.4807804300506116,7.8009,0.5353076983737495,-0.10000000000001588,48
pre,20.0,10.1963,4.9934,5.2029,70.0494,32.1512,37.8982,6.937745820913886,6.6114,0.1118760416211213,-0.10000000000001588,48
post,20.0,10.0403,4.7917,5.2486,15.078,6.903,8.175,1.432589057201661,7.4914,0.5480016299606097,-0.10000000000001588,5
pre,20.0,10.0127,4.7437,5.269,42.0341,18.5926,23.4415,4.176793633525303,6.2405,0.2096583813589553,-0.10000000000001588,5
