samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,0.0228,0.0072,0.0156,0.0237,0.0079,0.0158,0.0223,0.9368446368446367,-0.4000000000000635,45.0
20.0,0.0325,0.0195,0.013,0.0332,0.0195,0.0137,0.0322,0.987126264049341,-0.4000000000000635,46.0
20.0,0.0335,0.0177,0.0158,0.0352,0.0182,0.017,0.0336,0.9719536210915521,-0.4000000000000635,47.0
20.0,0.0275,0.0112,0.0163,0.0284,0.0118,0.0166,0.0276,0.972362278244631,-0.4000000000000635,48.0
20.0,0.0267,0.0128,0.0139,0.0271,0.013,0.0141,0.0267,0.9853395061728395,-0.4000000000000635,49.0
20.0,0.0272,0.0132,0.014,0.0282,0.0138,0.0144,0.027,0.9759931041181041,-0.4000000000000635,50.0
20.0,0.035,0.0152,0.0198,0.037,0.0161,0.0209,0.0358,0.9825817651004064,-0.4000000000000635,51.0
20.0,0.033,0.0117,0.0213,0.0347,0.0121,0.0226,0.0339,0.9858722976370035,-0.4000000000000635,52.0
20.0,0.0181,0.0094,0.0087,0.0187,0.0099,0.0088,0.0175,0.9331349206349205,-0.4000000000000635,53.0
20.0,0.0278,0.0114,0.0164,0.0289,0.0119,0.017,0.0285,0.9809523809523809,-0.4000000000000635,54.0
20.0,0.031,0.0195,0.0115,0.0341,0.0217,0.0124,0.0313,0.9305703404064058,-0.4000000000000635,55.0
20.0,0.0314,0.0143,0.0171,0.0327,0.0149,0.0178,0.0307,0.9274857795265959,-0.4000000000000635,56.0
20.0,0.0327,0.0114,0.0213,0.0337,0.0119,0.0218,0.0325,0.9612413194444445,-0.4000000000000635,57.0
20.0,0.0274,0.0127,0.0147,0.0284,0.013,0.0154,0.027,0.9673556073556072,-0.4000000000000635,58.0
20.0,0.0242,0.0128,0.0114,0.0253,0.0138,0.0115,0.0243,0.970578231292517,-0.4000000000000635,59.0
20.0,0.0274,0.0172,0.0102,0.0283,0.0175,0.0108,0.0273,0.9695778295778297,-0.4000000000000635,60.0
20.0,0.0166,0.0051,0.0115,0.0172,0.0054,0.0118,0.0168,0.9905731523378583,-0.4000000000000635,61.0
20.0,0.0228,0.01,0.0128,0.0235,0.0103,0.0132,0.0235,1.0,-0.4000000000000635,62.0
20.0,0.028,0.0143,0.0137,0.0284,0.0146,0.0138,0.0282,0.9950980392156863,-0.4000000000000635,63.0
20.0,0.0253,0.0057,0.0196,0.026,0.0063,0.0197,0.025,0.9790341897045043,-0.4000000000000635,64.0
20.0,0.0248,0.0155,0.0093,0.025,0.0156,0.0094,0.0248,0.995959595959596,-0.4000000000000635,65.0
