user_id,user_id_str
1251404154322538496,"""1251404154322538496"""
494308139,"""494308139"""
1688,"""1688"""
2308868216,"""2308868216"""
834154193007079424,"""834154193007079424"""
1149370370,"""1149370370"""
2843509757,"""2843509757"""
475504596,"""475504596"""
207859292,"""207859292"""
1276768833521569793,"""1276768833521569793"""
1273313753136848899,"""1273313753136848899"""
1275414481875529730,"""1275414481875529730"""
1278039050813767686,"""1278039050813767686"""
1274089760542404609,"""1274089760542404609"""
525460996,"""525460996"""
3283600375,"""3283600375"""
15823187,"""15823187"""
2363204364,"""2363204364"""
830206754071777280,"""830206754071777280"""
61028017,"""61028017"""
481931452,"""481931452"""
415739617,"""415739617"""
1133289597230821376,"""1133289597230821376"""
911118939605786625,"""911118939605786625"""
1085835703441915906,"""1085835703441915906"""
301736673,"""301736673"""
1058784362857197568,"""1058784362857197568"""
14310573,"""14310573"""
1569100556,"""1569100556"""
298602588,"""298602588"""
14535091,"""14535091"""
1348327302,"""1348327302"""
1081714342414954496,"""1081714342414954496"""
832750638828105731,"""832750638828105731"""
1073250929103781890,"""1073250929103781890"""
558818756,"""558818756"""
2876728174,"""2876728174"""
16334163,"""16334163"""
15923351,"""15923351"""
971082553376391173,"""971082553376391173"""
90695638,"""90695638"""
1076724302735527936,"""1076724302735527936"""
1050010399624564738,"""1050010399624564738"""
210931140,"""210931140"""
1069688385395191810,"""1069688385395191810"""
18685453,"""18685453"""
4549066534,"""4549066534"""
21934095,"""21934095"""
20871070,"""20871070"""
3331850139,"""3331850139"""
902481418705485824,"""902481418705485824"""
984592830592180226,"""984592830592180226"""
1047414687653085185,"""1047414687653085185"""
1045353240110542849,"""1045353240110542849"""
1026750625995010048,"""1026750625995010048"""
799315077522452480,"""799315077522452480"""
865312051,"""865312051"""
1040325794155962369,"""1040325794155962369"""
2157881157,"""2157881157"""
1034945638792876033,"""1034945638792876033"""
827616111898271744,"""827616111898271744"""
3439164489,"""3439164489"""
32281637,"""32281637"""
1029441786127757313,"""1029441786127757313"""
1025500087273902080,"""1025500087273902080"""
162069635,"""162069635"""
1025620301965492224,"""1025620301965492224"""
17083575,"""17083575"""
1006705430800797696,"""1006705430800797696"""
433697321,"""433697321"""
341190477,"""341190477"""
545235190,"""545235190"""
802184729235554304,"""802184729235554304"""
14542977,"""14542977"""
18839446,"""18839446"""
24897739,"""24897739"""
1011691889773502465,"""1011691889773502465"""
494598792,"""494598792"""
280826651,"""280826651"""
2233906716,"""2233906716"""
2775243353,"""2775243353"""
1253226542,"""1253226542"""
753693711830097920,"""753693711830097920"""
1005709563063095296,"""1005709563063095296"""
2316388764,"""2316388764"""
